stats_o/mean,test/success_rate,stats_o/std,stats_g/std,test/mean_Q,train/episode,train/success_rate,epoch,stats_g/mean,test/episode
0.26284602,1.0,0.030564696,0.08508438,-0.027564025,3320.0,0.75,165,0.87608814,3320.0
0.26287177,1.0,0.03057463,0.0851208,-0.061243106,3340.0,0.7,166,0.87617683,3340.0
0.26284546,1.0,0.030569691,0.08511492,-0.039040655,3360.0,0.65,167,0.8760972,3360.0
0.2628458,1.0,0.030561889,0.085094154,-0.068369135,3380.0,0.75,168,0.8760875,3380.0
0.26284677,1.0,0.030569542,0.08512447,-0.05710522,3400.0,0.8,169,0.8761113,3400.0
0.26285595,1.0,0.030577827,0.08514909,-0.074381545,3420.0,0.8,170,0.8761508,3420.0
0.26286507,1.0,0.030580616,0.08516052,-0.035943188,3440.0,0.7,171,0.8761885,3440.0
0.26287368,1.0,0.03057457,0.085132785,-0.08084817,3460.0,0.75,172,0.8762266,3460.0
0.26282877,1.0,0.0305829,0.08517945,-0.113586046,3480.0,0.8,173,0.87605935,3480.0
0.26284248,1.0,0.030581951,0.08517489,-0.071621135,3500.0,0.8,174,0.8761144,3500.0
0.262855,1.0,0.030577803,0.085152864,-0.034815423,3520.0,0.7,175,0.8761527,3520.0
0.2628577,1.0,0.030590389,0.08519894,-0.07427819,3540.0,0.7,176,0.8761514,3540.0
0.26288265,1.0,0.030597907,0.08523604,-0.09027293,3560.0,0.7,177,0.87624604,3560.0
0.26289207,1.0,0.03059266,0.08522873,-0.07322458,3580.0,0.7,178,0.8762824,3580.0
0.2629004,1.0,0.030600697,0.08526584,-0.04543761,3600.0,0.8,179,0.87630624,3600.0
0.2629233,1.0,0.030607477,0.08529783,-0.100294515,3620.0,0.8,180,0.87640023,3620.0
0.26292938,1.0,0.030608114,0.085306406,-0.049165614,3640.0,0.65,181,0.87642527,3640.0
0.26290646,1.0,0.030621732,0.08535701,-0.042848922,3660.0,0.85,182,0.87633985,3660.0
0.2628808,1.0,0.030612072,0.085319765,-0.05672778,3680.0,0.8,183,0.87623674,3680.0
0.26288682,1.0,0.030597568,0.08526462,-0.05594477,3700.0,0.7,184,0.8762576,3700.0
0.2628936,1.0,0.030591765,0.0852528,-0.052933693,3720.0,0.8,185,0.87627226,3720.0
0.26287088,1.0,0.030588944,0.08524277,-0.0214271,3740.0,0.8,186,0.87618613,3740.0
0.26286992,1.0,0.030589169,0.08524678,-0.051983643,3760.0,0.7,187,0.8761862,3760.0
0.26287264,1.0,0.030572945,0.0851892,-0.018377159,3780.0,0.65,188,0.87619895,3780.0
0.26290756,1.0,0.0305884,0.08523766,-0.05215164,3800.0,0.75,189,0.87632823,3800.0
0.2628978,1.0,0.030587342,0.08523548,-0.041254908,3820.0,0.85,190,0.87628,3820.0
0.2628977,1.0,0.030577298,0.085193485,-0.02379865,3840.0,0.75,191,0.8762781,3840.0
0.2628995,1.0,0.030563066,0.085145585,-0.055522494,3860.0,0.7,192,0.876273,3860.0
0.26288357,1.0,0.030571828,0.08516135,-0.07436864,3880.0,0.85,193,0.87621564,3880.0
0.2628782,1.0,0.030564398,0.08513572,-0.046159625,3900.0,0.75,194,0.87619114,3900.0
0.26284063,1.0,0.030568535,0.085151136,-0.06933867,3920.0,0.7,195,0.87606883,3920.0
0.26282597,1.0,0.030563975,0.085150905,-0.05480356,3940.0,0.8,196,0.8760316,3940.0
0.26283598,1.0,0.030566016,0.08516174,-0.07117873,3960.0,0.8,197,0.8760628,3960.0
0.26282018,1.0,0.0305608,0.085127704,-0.08072251,3980.0,0.9,198,0.87601167,3980.0
0.26282868,1.0,0.030564627,0.085136645,-0.055848647,4000.0,0.9,199,0.87604064,4000.0
0.26280138,1.0,0.03056913,0.08515533,-0.080705784,4020.0,0.8,200,0.87593603,4020.0
0.26282516,1.0,0.030576695,0.08517512,-0.06033812,4040.0,0.8,201,0.8760229,4040.0
0.26280573,1.0,0.030574312,0.08516323,-0.039842293,4060.0,0.7,202,0.87594885,4060.0
0.2628251,1.0,0.030570203,0.08514488,-0.06749879,4080.0,0.85,203,0.8760155,4080.0
0.2628218,1.0,0.030580243,0.08517995,-0.05986789,4100.0,0.7,204,0.8760007,4100.0
0.26282957,1.0,0.030573884,0.08516132,-0.046242125,4120.0,0.8,205,0.87602735,4120.0
0.26284462,1.0,0.03056984,0.08515185,-0.062246643,4140.0,0.65,206,0.8760945,4140.0
0.26284826,1.0,0.030569617,0.085153736,-0.06833472,4160.0,0.65,207,0.8760967,4160.0
0.26284918,1.0,0.03056145,0.08513433,-0.032420408,4180.0,0.75,208,0.87610865,4180.0
0.26284617,1.0,0.030565027,0.08514845,-0.050602324,4200.0,0.85,209,0.8760964,4200.0
0.26284558,1.0,0.030572284,0.08518493,-0.078893386,4220.0,0.8,210,0.876084,4220.0
0.2628414,1.0,0.030583888,0.08523146,-0.058048278,4240.0,0.75,211,0.8760701,4240.0
0.2628503,1.0,0.030588012,0.08523937,-0.079735525,4260.0,0.6,212,0.8761039,4260.0
0.26286823,1.0,0.030576294,0.08519804,-0.0058809384,4280.0,0.9,213,0.87616366,4280.0
0.26286906,1.0,0.0305778,0.08520613,-0.0717272,4300.0,0.8,214,0.8761709,4300.0
0.26285493,1.0,0.030581465,0.08521464,-0.06486665,4320.0,0.8,215,0.8761158,4320.0
0.262844,1.0,0.030579275,0.08520483,-0.051689297,4340.0,0.8,216,0.8760762,4340.0
0.26284915,1.0,0.03057826,0.08521009,-0.08839553,4360.0,0.65,217,0.87609714,4360.0
0.26286328,1.0,0.030578006,0.085211255,-0.07339797,4380.0,0.75,218,0.8761473,4380.0
