test/episode,stats_g/std,stats_o/std,stats_o/mean,epoch,test/success_rate,train/episode,test/mean_Q,stats_g/mean,train/success_rate
2360.0,0.085102595,0.03052485,0.2628362,117,1.0,2360.0,-0.07711515,0.8753257,0.85
2380.0,0.085137464,0.030542552,0.26281828,118,1.0,2380.0,-0.06895839,0.875237,0.6
2400.0,0.08516604,0.030548364,0.26281136,119,1.0,2400.0,-0.07410991,0.87520844,0.8
2420.0,0.08519572,0.030557042,0.2628242,120,1.0,2420.0,-0.0790127,0.87527895,0.8
2440.0,0.08526889,0.0305762,0.26288804,121,1.0,2440.0,-0.08294706,0.8755242,0.45
2460.0,0.08526609,0.030576164,0.2628738,122,1.0,2460.0,-0.069912076,0.8754928,0.8
2480.0,0.08520507,0.030554792,0.26287258,123,1.0,2480.0,-0.044910792,0.87546045,0.55
2500.0,0.085160136,0.03054288,0.26284072,124,1.0,2500.0,-0.021626655,0.87534815,0.9
2520.0,0.08514821,0.030538138,0.2628377,125,1.0,2520.0,-0.047691207,0.8753182,0.8
2540.0,0.08508244,0.030521492,0.262824,126,1.0,2540.0,-0.055376966,0.8752684,0.85
2560.0,0.085104376,0.030528242,0.2628059,127,1.0,2560.0,-0.041725125,0.8751803,0.75
2580.0,0.085092425,0.030523961,0.26278922,128,1.0,2580.0,-0.04226676,0.87511873,0.75
2600.0,0.085031174,0.0305073,0.26279756,129,1.0,2600.0,-0.055983294,0.87515765,0.9
2620.0,0.085033454,0.03050611,0.26276952,130,1.0,2620.0,-0.050556608,0.87503594,0.7
2640.0,0.084959865,0.03048724,0.2627733,131,1.0,2640.0,-0.052715354,0.8750418,0.7
2660.0,0.084948786,0.030481491,0.26278776,132,1.0,2660.0,-0.04274093,0.87509346,0.65
2680.0,0.08496451,0.03048319,0.2627778,133,1.0,2680.0,-0.05020235,0.8750689,0.95
2700.0,0.085007995,0.030491814,0.26278728,134,1.0,2700.0,-0.07223666,0.87510175,0.85
2720.0,0.085024066,0.030491646,0.26278764,135,1.0,2720.0,-0.0377379,0.8751078,0.75
2740.0,0.08498629,0.030479128,0.26278976,136,1.0,2740.0,-0.051313918,0.8751338,0.7
2760.0,0.08498216,0.030479308,0.26278594,137,1.0,2760.0,-0.052430563,0.87512636,0.7
