stats_g/std,train/success_rate,train/episode,test/success_rate,test/episode,stats_o/mean,stats_g/mean,test/mean_Q,stats_o/std,epoch
0.06848722,0.87,8300.0,0.6,1660.0,0.2000635,0.8360614,-4.959011,0.09155531,82
0.06844952,0.78,8400.0,1.0,1680.0,0.20002669,0.83615494,-2.8087256,0.0918305,83
0.0685427,0.75,8500.0,0.95,1700.0,0.19999275,0.8362036,-2.9093692,0.09213662,84
0.068648055,0.83,8600.0,0.8,1720.0,0.1999543,0.8362458,-3.1420577,0.09245,85
0.06861264,0.92,8700.0,0.85,1740.0,0.19994837,0.8362842,-3.1915603,0.09259263,86
0.06858631,0.85,8800.0,0.8,1760.0,0.1998928,0.8363355,-4.9881864,0.09288535,87
0.06858794,0.86,8900.0,0.95,1780.0,0.19993961,0.8363723,-3.5336366,0.09308402,88
0.06856208,0.87,9000.0,0.75,1800.0,0.1999368,0.8363933,-4.3896484,0.09333348,89
0.06860902,0.92,9100.0,0.95,1820.0,0.1998932,0.8364218,-2.9026763,0.09343238,90
0.06851834,0.83,9200.0,0.95,1840.0,0.19991778,0.83646315,-3.0131543,0.093748674,91
0.06845396,0.9,9300.0,0.9,1860.0,0.19992584,0.83652633,-2.660722,0.09391915,92
0.06845955,0.9,9400.0,0.9,1880.0,0.19988008,0.8365776,-2.8199468,0.094065696,93
0.06850375,0.86,9500.0,0.9,1900.0,0.19984913,0.8365732,-2.6598477,0.09425471,94
0.06857859,0.87,9600.0,1.0,1920.0,0.19974071,0.8365409,-1.62017,0.094573945,95
0.06852588,0.91,9700.0,0.95,1940.0,0.19971359,0.8365884,-3.4668555,0.094801724,96
0.0685816,0.9,9800.0,0.9,1960.0,0.1997114,0.83663076,-3.0831459,0.095014036,97
0.068525806,0.91,9900.0,0.9,1980.0,0.19967449,0.8366844,-2.9284384,0.09515179,98
0.06853274,0.87,10000.0,0.9,2000.0,0.19962654,0.8367191,-2.3045757,0.09540293,99
0.06847427,0.9,10100.0,1.0,2020.0,0.19957274,0.8367849,-1.954256,0.09563243,100
0.0684344,0.93,10200.0,0.95,2040.0,0.19949254,0.8367651,-3.4382827,0.09579719,101
0.06835104,0.89,10300.0,1.0,2060.0,0.19950657,0.8367904,-2.740713,0.09611308,102
0.06846436,0.87,10400.0,1.0,2080.0,0.19948062,0.83685845,-1.7053449,0.09659152,103
0.068400584,0.88,10500.0,1.0,2100.0,0.19943632,0.8369231,-1.9228747,0.096885405,104
0.068434805,0.88,10600.0,1.0,2120.0,0.19944376,0.83695,-1.6854864,0.09709668,105
0.068438716,0.89,10700.0,1.0,2140.0,0.19941343,0.83693224,-1.9157076,0.09728013,106
0.068439476,0.86,10800.0,0.95,2160.0,0.19943754,0.8369718,-1.6899704,0.09746742,107
