test/success_rate,train/success_rate,stats_o/mean,train/episode,stats_g/mean,test/episode,test/mean_Q,stats_g/std,epoch,stats_o/std
1.0,0.85,0.20122077,18500.0,0.83618784,3700.0,-1.3398497,0.07595675,184,0.109699905
0.95,0.96,0.20124644,18600.0,0.8362085,3720.0,-2.5656571,0.07588782,185,0.1097859
1.0,0.91,0.20127201,18700.0,0.8361725,3740.0,-1.2675765,0.075952195,186,0.109999284
0.95,0.93,0.20128618,18800.0,0.8362265,3760.0,-1.9787906,0.075950526,187,0.11014751
0.95,0.95,0.20129871,18900.0,0.8362498,3780.0,-3.2563336,0.07589504,188,0.110326365
1.0,0.96,0.20127778,19000.0,0.83623195,3800.0,-1.3169403,0.0758352,189,0.11032277
0.95,0.97,0.20127618,19100.0,0.83624035,3820.0,-2.2865472,0.0758188,190,0.110428475
1.0,0.94,0.20127432,19200.0,0.83621645,3840.0,-1.4745238,0.07577547,191,0.110567674
1.0,0.92,0.20129013,19300.0,0.8362276,3860.0,-1.4517605,0.0757231,192,0.11074428
1.0,0.93,0.20129958,19400.0,0.8362164,3880.0,-1.1570941,0.07574017,193,0.11085551
1.0,0.93,0.20129047,19500.0,0.8362167,3900.0,-1.5220942,0.07571816,194,0.1109945
1.0,0.97,0.20128436,19600.0,0.8362205,3920.0,-1.141329,0.07567762,195,0.11109675
1.0,0.85,0.20126209,19700.0,0.83619946,3940.0,-1.1727058,0.07563532,196,0.11115111
0.95,0.94,0.20125905,19800.0,0.83620167,3960.0,-1.6150535,0.07558314,197,0.11124826
1.0,0.94,0.20127153,19900.0,0.83619744,3980.0,-1.3585812,0.07556393,198,0.111345015
1.0,0.92,0.20128153,20000.0,0.8362066,4000.0,-1.2375014,0.075540684,199,0.11141467
0.95,0.93,0.20126696,20100.0,0.836178,4020.0,-2.6883953,0.07553656,200,0.11153791
0.9,0.93,0.20129278,20200.0,0.83618754,4040.0,-1.9386193,0.075516336,201,0.11158059
1.0,0.9,0.20130476,20300.0,0.8361891,4060.0,-1.2694751,0.075509,202,0.111673556
1.0,0.95,0.2013399,20400.0,0.8362048,4080.0,-1.0347532,0.07548808,203,0.11182726
0.9,0.96,0.20135587,20500.0,0.836221,4100.0,-1.8447773,0.075442426,204,0.11190834
1.0,0.94,0.20134757,20600.0,0.83624285,4120.0,-1.0894818,0.07538563,205,0.11185754
1.0,0.94,0.20134115,20700.0,0.83625585,4140.0,-1.1654643,0.07534736,206,0.111888096
1.0,0.93,0.20129223,20800.0,0.8362575,4160.0,-1.1397338,0.07528259,207,0.11201753
1.0,0.93,0.20131145,20900.0,0.83628196,4180.0,-1.0118287,0.07527688,208,0.11208406
1.0,0.98,0.2013261,21000.0,0.83628684,4200.0,-1.1994188,0.075237215,209,0.11210425
1.0,0.97,0.20135832,21100.0,0.8363194,4220.0,-0.93827593,0.07518273,210,0.11215706
1.0,0.92,0.20132999,21200.0,0.83629185,4240.0,-1.3726089,0.0751903,211,0.1122132
1.0,0.93,0.20132439,21300.0,0.83631307,4260.0,-1.054683,0.07515875,212,0.11230357
1.0,0.94,0.20133619,21400.0,0.8363301,4280.0,-1.4715418,0.075107746,213,0.11227859
0.95,0.88,0.20136045,21500.0,0.8363349,4300.0,-2.80269,0.07506104,214,0.11243196
1.0,0.96,0.20136002,21600.0,0.8363533,4320.0,-1.311949,0.075008415,215,0.11243945
1.0,0.94,0.20135619,21700.0,0.83636504,4340.0,-1.1837299,0.07500412,216,0.11245841
1.0,0.93,0.20139143,21800.0,0.83638126,4360.0,-1.2161523,0.07499685,217,0.11253085
1.0,0.98,0.2013831,21900.0,0.83639246,4380.0,-0.9045437,0.074957155,218,0.11257685
1.0,0.94,0.20139627,22000.0,0.83638024,4400.0,-1.076564,0.07492415,219,0.1125961
1.0,0.96,0.20141229,22100.0,0.83638716,4420.0,-1.1845162,0.074951686,220,0.11263995
0.95,0.93,0.20141773,22200.0,0.8363959,4440.0,-2.6942754,0.07493328,221,0.11263654
1.0,0.97,0.20142141,22300.0,0.8363971,4460.0,-1.3350906,0.07490318,222,0.1126643
1.0,0.97,0.20145328,22400.0,0.8364003,4480.0,-1.3418715,0.074872054,223,0.112711154
1.0,0.95,0.20144737,22500.0,0.8363955,4500.0,-1.2215707,0.07484811,224,0.112703085
1.0,0.94,0.20147735,22600.0,0.8363872,4520.0,-1.3023181,0.07479754,225,0.11273019
1.0,0.97,0.20148602,22700.0,0.83640224,4540.0,-1.3418494,0.07476076,226,0.11277209
0.95,0.98,0.20147534,22800.0,0.8364007,4560.0,-1.3553609,0.07471479,227,0.11279287
0.95,0.94,0.20144999,22900.0,0.83639234,4580.0,-1.4240814,0.074680835,228,0.11283901
1.0,0.98,0.2014735,23000.0,0.83639544,4600.0,-1.0400686,0.07464723,229,0.11286137
1.0,0.96,0.20147657,23100.0,0.8364017,4620.0,-1.4356326,0.07460924,230,0.112862624
0.95,0.98,0.2014776,23200.0,0.83643436,4640.0,-1.7651489,0.07456432,231,0.11286818
1.0,0.94,0.2014977,23300.0,0.8364324,4660.0,-1.386936,0.074554525,232,0.11291694
1.0,0.96,0.20150015,23400.0,0.8364344,4680.0,-1.4877973,0.07455847,233,0.11295534
1.0,0.95,0.20148629,23500.0,0.8364558,4700.0,-1.055588,0.07454078,234,0.112996414
1.0,0.95,0.20149855,23600.0,0.836423,4720.0,-1.421092,0.074524365,235,0.112992294
1.0,0.94,0.20153072,23700.0,0.83642983,4740.0,-1.499456,0.07447693,236,0.11303281
1.0,0.97,0.20151833,23800.0,0.8364242,4760.0,-0.8975375,0.07442814,237,0.11310219
1.0,0.92,0.20152399,23900.0,0.8364456,4780.0,-1.1963012,0.07443514,238,0.11313031
1.0,0.97,0.20153132,24000.0,0.8364617,4800.0,-1.0056099,0.074421085,239,0.11312157
1.0,0.92,0.20154552,24100.0,0.83643395,4820.0,-0.9760068,0.074424654,240,0.113128595
0.9,0.96,0.20155539,24200.0,0.83646566,4840.0,-2.5808482,0.07438374,241,0.113192566
1.0,0.94,0.20156834,24300.0,0.8365009,4860.0,-0.9447874,0.074340984,242,0.11318272
1.0,0.96,0.20157978,24400.0,0.83650684,4880.0,-1.208357,0.0743392,243,0.113190606
1.0,0.95,0.2015754,24500.0,0.83651656,4900.0,-0.8983947,0.07431816,244,0.113238685
1.0,0.96,0.20158312,24600.0,0.83651686,4920.0,-1.0610412,0.074311994,245,0.113275945
1.0,0.97,0.20161341,24700.0,0.83652353,4940.0,-0.9134265,0.074276306,246,0.11328111
1.0,0.92,0.20162554,24800.0,0.8365311,4960.0,-1.0417967,0.07427504,247,0.113349445
1.0,0.93,0.20161968,24900.0,0.83653355,4980.0,-0.9544851,0.07425914,248,0.113423385
1.0,0.93,0.20164816,25000.0,0.8365179,5000.0,-1.2964519,0.07427143,249,0.1135305
1.0,0.93,0.20166819,25100.0,0.8365497,5020.0,-1.2831472,0.074256845,250,0.1135286
1.0,0.95,0.20168044,25200.0,0.83656806,5040.0,-1.2866489,0.07421369,251,0.113554746
1.0,0.96,0.20166759,25300.0,0.8365701,5060.0,-1.1228787,0.07424925,252,0.11358907
1.0,0.95,0.20168835,25400.0,0.83656406,5080.0,-1.1816256,0.07424971,253,0.11362267
1.0,0.99,0.2016944,25500.0,0.8365833,5100.0,-1.0810103,0.074201085,254,0.113626435
1.0,0.96,0.20170207,25600.0,0.83660173,5120.0,-1.0179999,0.07425183,255,0.113685
1.0,0.93,0.20170645,25700.0,0.8366167,5140.0,-1.05654,0.07426802,256,0.113744706
1.0,0.98,0.20170115,25800.0,0.83662504,5160.0,-1.0268981,0.07424737,257,0.11377044
