train/success_rate,stats_g/std,test/success_rate,stats_o/std,test/episode,stats_g/mean,test/mean_Q,stats_o/mean,train/episode,epoch
0.98,0.06772709,1.0,0.09310483,2020.0,0.8383395,-1.1378067,0.20129625,10100.0,100
0.95,0.06765342,1.0,0.09321065,2040.0,0.83830804,-1.4840676,0.20130976,10200.0,101
0.98,0.067635864,1.0,0.09336751,2060.0,0.83834106,-1.7501396,0.20131934,10300.0,102
0.94,0.06769233,1.0,0.09356326,2080.0,0.8383851,-1.2733036,0.20131226,10400.0,103
0.92,0.067638524,1.0,0.093648866,2100.0,0.8384538,-1.4609385,0.20128603,10500.0,104
0.94,0.06758466,1.0,0.09373488,2120.0,0.83846027,-1.2461977,0.20129603,10600.0,105
0.97,0.06763976,0.95,0.09394057,2140.0,0.838439,-1.239575,0.20125723,10700.0,106
0.94,0.06757593,1.0,0.094082326,2160.0,0.83845705,-1.2521398,0.20129395,10800.0,107
0.96,0.06751412,1.0,0.094187364,2180.0,0.8384063,-1.2146727,0.2013312,10900.0,108
0.96,0.067455545,1.0,0.09427736,2200.0,0.8384266,-1.5193679,0.20135288,11000.0,109
0.93,0.067408614,1.0,0.09437865,2220.0,0.83846813,-1.2533944,0.20138937,11100.0,110
0.94,0.06741772,1.0,0.09454346,2240.0,0.83848596,-1.2607672,0.20146461,11200.0,111
0.93,0.067371815,1.0,0.09467848,2260.0,0.83849746,-0.9420827,0.20143326,11300.0,112
0.93,0.0673305,1.0,0.0946804,2280.0,0.83844656,-1.0143133,0.2014203,11400.0,113
0.97,0.06728128,1.0,0.09477955,2300.0,0.8384652,-1.4366465,0.20141658,11500.0,114
0.96,0.067226164,0.95,0.094945714,2320.0,0.83848405,-2.8623738,0.20145899,11600.0,115
0.96,0.067209125,1.0,0.09502755,2340.0,0.8384426,-0.96779746,0.20142882,11700.0,116
0.98,0.067238465,1.0,0.09518146,2360.0,0.8383806,-1.1653907,0.20142671,11800.0,117
