test/success_rate,epoch,stats_o/mean,test/episode,train/success_rate,test/mean_Q,stats_o/std,stats_g/mean,train/episode,stats_g/std
0.0,128,0.20402661,2580.0,0.02,-11.320579,0.047929376,0.8758426,12900.0,0.10592166
0.1,129,0.20402117,2600.0,0.04,-9.268263,0.047938716,0.87585753,13000.0,0.10594857
0.1,130,0.20401545,2620.0,0.06,-8.866911,0.047990087,0.8758053,13100.0,0.10593053
0.1,131,0.20401308,2640.0,0.05,-6.7082987,0.04805316,0.8757785,13200.0,0.105938554
0.05,132,0.20401683,2660.0,0.06,-10.3860855,0.04818833,0.8757856,13300.0,0.10595129
0.0,133,0.20401455,2680.0,0.03,-11.013687,0.048185933,0.875803,13400.0,0.1059496
0.0,134,0.204027,2700.0,0.03,-12.401972,0.04836859,0.8758443,13500.0,0.105951704
0.05,135,0.20400353,2720.0,0.04,-10.103225,0.048553213,0.8757928,13600.0,0.10595331
0.05,136,0.20401411,2740.0,0.0,-9.984235,0.048571777,0.8757195,13700.0,0.105921805
0.05,137,0.20401196,2760.0,0.04,-12.100909,0.04861255,0.8757169,13800.0,0.105936505
0.05,138,0.20401448,2780.0,0.02,-10.077851,0.048588295,0.87568617,13900.0,0.105937146
0.0,139,0.20401184,2800.0,0.05,-8.3474455,0.048619647,0.875614,14000.0,0.10595393
0.0,140,0.20402506,2820.0,0.04,-9.961542,0.04878422,0.8755617,14100.0,0.10594884
0.0,141,0.20402443,2840.0,0.04,-11.377811,0.04898172,0.87557054,14200.0,0.10597732
0.0,142,0.2040126,2860.0,0.01,-11.563065,0.04902158,0.8755894,14300.0,0.105957665
0.0,143,0.20401293,2880.0,0.04,-12.9216175,0.0490903,0.8756139,14400.0,0.1059499
0.1,144,0.20400113,2900.0,0.03,-10.455068,0.049114335,0.8756392,14500.0,0.10596412
0.05,145,0.2039985,2920.0,0.04,-9.873247,0.049153242,0.87567836,14600.0,0.10601878
0.0,146,0.204014,2940.0,0.06,-13.144669,0.049258143,0.87562895,14700.0,0.10598963
