train/success_rate,stats_o/mean,stats_g/mean,stats_g/std,stats_o/std,test/mean_Q,test/episode,train/episode,test/success_rate,epoch
0.55,0.2629343,0.875752,0.08564586,0.03073535,-0.012225391,2080.0,2080.0,1.0,103
0.75,0.26288563,0.87555736,0.08561733,0.030722752,-0.043411463,2100.0,2100.0,1.0,104
0.9,0.26290038,0.8756507,0.08554709,0.030705234,-0.02726135,2120.0,2120.0,1.0,105
0.75,0.2628831,0.8755829,0.085493594,0.030688252,-0.049741678,2140.0,2140.0,1.0,106
0.75,0.26283577,0.8754075,0.08545645,0.03067359,-0.04758327,2160.0,2160.0,1.0,107
0.75,0.2628221,0.875346,0.085416675,0.030664226,-0.044817545,2180.0,2180.0,1.0,108
0.6,0.2628013,0.8752594,0.08543094,0.030669805,-0.058085702,2200.0,2200.0,1.0,109
0.75,0.26282126,0.8753539,0.085395254,0.030655045,-0.058283407,2220.0,2220.0,1.0,110
0.9,0.26281875,0.8753381,0.08537189,0.030648729,-0.0317023,2240.0,2240.0,1.0,111
0.65,0.2628017,0.8752684,0.0853915,0.030650685,-0.075854525,2260.0,2260.0,1.0,112
0.7,0.26278976,0.87523866,0.085380554,0.030649047,-0.07428114,2280.0,2280.0,1.0,113
0.75,0.26276213,0.8751404,0.08531033,0.030633133,-0.051570177,2300.0,2300.0,1.0,114
0.7,0.2627709,0.87515855,0.08531291,0.03063181,-0.054987382,2320.0,2320.0,1.0,115
0.75,0.26277724,0.87516516,0.08527077,0.030616444,-0.052018054,2340.0,2340.0,1.0,116
0.85,0.2627895,0.8752113,0.08526728,0.030615028,-0.06854339,2360.0,2360.0,1.0,117
0.55,0.26277396,0.8751261,0.08529836,0.030629521,-0.05088212,2380.0,2380.0,1.0,118
0.8,0.26276687,0.87509733,0.08532549,0.030634835,-0.055742033,2400.0,2400.0,1.0,119
0.85,0.26278096,0.8751712,0.08535043,0.030641666,-0.07513929,2420.0,2420.0,1.0,120
0.5,0.26284558,0.8754185,0.08542192,0.030661602,-0.08612932,2440.0,2440.0,1.0,121
0.8,0.26283455,0.87539333,0.08542058,0.030663412,-0.07014846,2460.0,2460.0,1.0,122
0.7,0.2628344,0.8753662,0.08535674,0.03064162,-0.0388355,2480.0,2480.0,1.0,123
0.9,0.26280266,0.8752553,0.085312106,0.030628677,-0.066513136,2500.0,2500.0,1.0,124
0.85,0.26279634,0.8752198,0.08529803,0.030624896,-0.07616154,2520.0,2520.0,1.0,125
0.85,0.26278225,0.8751697,0.085232936,0.030607423,-0.04669883,2540.0,2540.0,1.0,126
0.8,0.26276508,0.8750828,0.08525304,0.03061372,-0.08182232,2560.0,2560.0,1.0,127
0.75,0.26275086,0.87502676,0.08523708,0.030607823,-0.05777942,2580.0,2580.0,1.0,128
0.95,0.26276082,0.87506884,0.08517653,0.030591303,-0.036184665,2600.0,2600.0,1.0,129
0.7,0.26273435,0.87494975,0.08517469,0.030589566,-0.07113809,2620.0,2620.0,1.0,130
0.7,0.2627379,0.87495613,0.08510157,0.0305717,-0.06237964,2640.0,2640.0,1.0,131
0.7,0.262749,0.8750048,0.08508708,0.030566385,-0.03945884,2660.0,2660.0,1.0,132
0.95,0.26273972,0.87498164,0.08510173,0.030568685,-0.054364543,2680.0,2680.0,1.0,133
0.95,0.26274905,0.8750151,0.08514764,0.03058033,-0.07523356,2700.0,2700.0,1.0,134
0.8,0.26274782,0.87501764,0.085162856,0.030580664,-0.07584912,2720.0,2720.0,1.0,135
0.7,0.26275006,0.8750453,0.08512476,0.030567998,-0.05820904,2740.0,2740.0,1.0,136
0.75,0.26274422,0.87503386,0.08511611,0.030564457,-0.06306228,2760.0,2760.0,1.0,137
0.8,0.26276988,0.8751324,0.08515444,0.030578952,-0.06896957,2780.0,2780.0,1.0,138
0.85,0.26274315,0.8750162,0.085138746,0.030577105,-0.035803437,2800.0,2800.0,1.0,139
0.75,0.26269835,0.8748501,0.085182935,0.030584076,-0.10699697,2820.0,2820.0,1.0,140
0.7,0.26269653,0.87484056,0.08521957,0.030589467,-0.061445206,2840.0,2840.0,1.0,141
0.9,0.26270965,0.8748779,0.08524547,0.030593282,-0.035774384,2860.0,2860.0,1.0,142
0.85,0.26271322,0.87488747,0.08526164,0.03059651,-0.057797514,2880.0,2880.0,1.0,143
0.7,0.26271933,0.87489843,0.08525696,0.030596426,-0.0667666,2900.0,2900.0,1.0,144
0.75,0.2627011,0.87483865,0.08525229,0.030592447,-0.06041237,2920.0,2920.0,1.0,145
0.9,0.26269078,0.8748026,0.0853037,0.030602757,-0.07456154,2940.0,2940.0,1.0,146
0.75,0.2626861,0.87479424,0.08528753,0.030598845,-0.05108236,2960.0,2960.0,1.0,147
0.8,0.2627158,0.8749059,0.08532987,0.030608887,-0.039584383,2980.0,2980.0,1.0,148
0.7,0.26271054,0.8748719,0.08529625,0.030597577,-0.04995558,3000.0,3000.0,1.0,149
0.7,0.26272148,0.87490577,0.08537048,0.030612703,-0.086609945,3020.0,3020.0,1.0,150
0.75,0.2627248,0.87491554,0.085341156,0.03060243,-0.058538437,3040.0,3040.0,1.0,151
0.75,0.26274627,0.8749959,0.08537116,0.030611176,-0.07076512,3060.0,3060.0,1.0,152
0.85,0.26275203,0.87500805,0.08535797,0.030607978,-0.055014174,3080.0,3080.0,1.0,153
0.75,0.26275522,0.87500745,0.085372664,0.030617684,-0.08163249,3100.0,3100.0,1.0,154
0.7,0.2627712,0.87508136,0.08542389,0.030628711,-0.06748961,3120.0,3120.0,1.0,155
0.7,0.26276183,0.87505645,0.085444875,0.030637061,-0.043549314,3140.0,3140.0,1.0,156
0.6,0.26276547,0.8750722,0.08545328,0.030641615,-0.05831199,3160.0,3160.0,1.0,157
0.9,0.2627837,0.8751274,0.08549297,0.03065303,-0.07302712,3180.0,3180.0,1.0,158
0.8,0.26277834,0.87509537,0.085542984,0.030665055,-0.08397754,3200.0,3200.0,1.0,159
0.7,0.26276657,0.87506443,0.08553194,0.030664837,-0.0620176,3220.0,3220.0,1.0,160
0.65,0.2627824,0.875125,0.085545935,0.030674044,-0.070522346,3240.0,3240.0,1.0,161
0.6,0.2627782,0.87511945,0.08556112,0.030677771,-0.07734086,3260.0,3260.0,1.0,162
0.7,0.26280904,0.87525207,0.08557554,0.030682364,-0.06448525,3280.0,3280.0,1.0,163
0.9,0.26282012,0.8752788,0.08559146,0.030685654,-0.0620354,3300.0,3300.0,1.0,164
0.85,0.26284423,0.8753612,0.08555154,0.030669421,-0.046071857,3320.0,3320.0,1.0,165
0.85,0.26286626,0.8754425,0.0855745,0.030675635,-0.053702064,3340.0,3340.0,1.0,166
0.55,0.2628562,0.87539107,0.085590534,0.03067959,-0.0686574,3360.0,3360.0,1.0,167
0.65,0.26284078,0.87535375,0.0855754,0.030673694,-0.05520613,3380.0,3380.0,1.0,168
0.75,0.2628394,0.8753566,0.08559381,0.030678308,-0.06639165,3400.0,3400.0,1.0,169
0.55,0.26283637,0.87535715,0.085630156,0.030685559,-0.08235131,3420.0,3420.0,1.0,170
0.75,0.26284656,0.8754017,0.085636936,0.030688059,-0.047630213,3440.0,3440.0,1.0,171
0.7,0.262849,0.87540126,0.08562564,0.03067961,-0.033669066,3460.0,3460.0,1.0,172
