stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/mean_Q,test/episode,test/success_rate,epoch,train/episode,stats_o/std
0.2627742,0.75,0.87505907,0.08525542,-0.057935804,2580.0,1.0,128,2580.0,0.030607264
0.26278162,0.95,0.875097,0.085192256,-0.023089971,2600.0,1.0,129,2600.0,0.030590057
0.26275247,0.75,0.8749735,0.085189916,-0.06465397,2620.0,1.0,130,2620.0,0.030588523
0.2627576,0.8,0.8749828,0.08511555,0.0013342606,2640.0,1.0,131,2640.0,0.030569479
0.262769,0.65,0.87502986,0.08510014,-0.050537985,2660.0,1.0,132,2660.0,0.030562395
0.26276082,0.9,0.87500745,0.08511323,-0.085393414,2680.0,1.0,133,2680.0,0.03056398
0.26276797,0.85,0.875037,0.08515326,-0.06763111,2700.0,1.0,134,2700.0,0.030572856
0.26276746,0.75,0.87504107,0.085168235,-0.033141054,2720.0,1.0,135,2720.0,0.03057295
0.26276642,0.6,0.8750612,0.08513067,-0.06713916,2740.0,1.0,136,2740.0,0.030560434
0.262759,0.75,0.8750486,0.08511994,-0.055250943,2760.0,1.0,137,2760.0,0.030557623
0.26278153,0.75,0.87513846,0.08515251,-0.08303432,2780.0,1.0,138,2780.0,0.030569468
0.26275343,0.8,0.87501955,0.08513829,-0.057080466,2800.0,1.0,139,2800.0,0.030566728
0.26270777,0.7,0.87485117,0.085181855,-0.09211423,2820.0,1.0,140,2820.0,0.03057318
0.262707,0.75,0.8748436,0.085218035,-0.07239974,2840.0,1.0,141,2840.0,0.030577183
0.26271826,0.9,0.87487715,0.08524514,-0.051288165,2860.0,1.0,142,2860.0,0.030580867
0.26272213,0.7,0.87488574,0.0852615,-0.074023694,2880.0,1.0,143,2880.0,0.030583352
0.26272565,0.75,0.87489295,0.085256636,-0.03637602,2900.0,1.0,144,2900.0,0.03058415
0.26270467,0.85,0.87482816,0.0852536,-0.046026003,2920.0,1.0,145,2920.0,0.030581716
0.26269132,0.7,0.87478733,0.08530822,-0.08681892,2940.0,1.0,146,2940.0,0.03059269
0.2626887,0.8,0.8747832,0.0852943,-0.057988055,2960.0,1.0,147,2960.0,0.030589055
0.26271594,0.65,0.8748894,0.085335135,-0.06826074,2980.0,1.0,148,2980.0,0.030598154
0.26270992,0.7,0.8748536,0.085297205,-0.1132522,3000.0,1.0,149,3000.0,0.030586045
0.26271975,0.6,0.8748856,0.08536801,-0.059648883,3020.0,1.0,150,3020.0,0.030599937
0.26271766,0.7,0.8748862,0.08533603,-0.055694092,3040.0,1.0,151,3040.0,0.030588713
0.26273707,0.8,0.8749633,0.085368164,-0.052158047,3060.0,1.0,152,3060.0,0.030598532
0.26274198,0.75,0.8749736,0.08535526,-0.084050946,3080.0,1.0,153,3080.0,0.030594807
0.26274583,0.8,0.87497425,0.085371785,-0.08082317,3100.0,1.0,154,3100.0,0.030605104
0.26275927,0.75,0.8750455,0.085423626,-0.065501325,3120.0,1.0,155,3120.0,0.030615527
0.2627473,0.75,0.87501734,0.08544459,-0.087728575,3140.0,1.0,156,3140.0,0.030624997
0.2627513,0.65,0.8750351,0.08545357,-0.05925771,3160.0,1.0,157,3160.0,0.030630225
0.26276755,0.9,0.8750863,0.0854913,-0.08313725,3180.0,1.0,158,3180.0,0.030639851
0.2627611,0.85,0.8750512,0.08554105,-0.088766985,3200.0,1.0,159,3200.0,0.030651238
0.26275128,0.7,0.8750221,0.08552942,-0.06573585,3220.0,1.0,160,3220.0,0.030651683
0.26276585,0.5,0.87507886,0.08554092,-0.075806886,3240.0,1.0,161,3240.0,0.03066137
0.26276022,0.5,0.87507075,0.085558414,-0.048492983,3260.0,1.0,162,3260.0,0.030666312
0.262788,0.8,0.87520057,0.08557051,-0.06460432,3280.0,1.0,163,3280.0,0.030669758
0.26279733,0.95,0.8752256,0.08558773,-0.091214165,3300.0,1.0,164,3300.0,0.030673897
0.26282096,0.85,0.87530726,0.08554711,-0.0801347,3320.0,1.0,165,3320.0,0.03065719
0.262844,0.85,0.8753893,0.08557304,-0.07272042,3340.0,1.0,166,3340.0,0.030664822
0.26283413,0.55,0.8753381,0.08558942,-0.0571403,3360.0,1.0,167,3360.0,0.030668829
0.26281947,0.75,0.87530303,0.08557239,-0.06257741,3380.0,1.0,168,3380.0,0.030662388
0.26281708,0.85,0.8753039,0.08559293,-0.04715661,3400.0,1.0,169,3400.0,0.030666608
0.26281387,0.55,0.8753042,0.08562646,-0.05795752,3420.0,1.0,170,3420.0,0.030673847
0.2628249,0.7,0.87534857,0.08563589,-0.06529581,3440.0,1.0,171,3440.0,0.030677412
0.26282668,0.75,0.87534815,0.08562219,-0.07924096,3460.0,1.0,172,3460.0,0.030668724
0.26278356,0.8,0.8751753,0.085670315,-0.058417033,3480.0,1.0,173,3480.0,0.030679937
0.26280802,0.9,0.87525755,0.0856648,-0.04634819,3500.0,1.0,174,3500.0,0.030678907
0.26282218,0.75,0.8753001,0.08562309,-0.052644283,3520.0,1.0,175,3520.0,0.030669695
0.26282066,0.8,0.87530565,0.08568832,-0.099513374,3540.0,1.0,176,3540.0,0.030689185
0.26284444,0.6,0.8753979,0.085728206,-0.06895167,3560.0,1.0,177,3560.0,0.030700183
0.2628548,0.75,0.8754413,0.08572152,-0.07281602,3580.0,1.0,178,3580.0,0.030697446
0.26285788,0.65,0.8754514,0.085744,-0.06292821,3600.0,1.0,179,3600.0,0.03070395
0.26288182,0.85,0.8755414,0.08578404,-0.07637287,3620.0,1.0,180,3620.0,0.030716728
0.2628972,0.8,0.8755801,0.085795544,-0.046570662,3640.0,1.0,181,3640.0,0.03072239
0.26287535,0.65,0.87549734,0.08584666,-0.07738952,3660.0,1.0,182,3660.0,0.030734533
0.2628407,0.7,0.87537974,0.08582414,-0.036774863,3680.0,1.0,183,3680.0,0.03072979
0.26284385,0.85,0.8753887,0.08577284,-0.024352714,3700.0,1.0,184,3700.0,0.030715078
0.2628487,0.85,0.8754075,0.0857651,-0.04851848,3720.0,1.0,185,3720.0,0.030712152
0.26282817,0.65,0.8753228,0.08576286,-0.07062889,3740.0,1.0,186,3740.0,0.030712474
