test/success_rate,test/episode,stats_g/mean,train/episode,train/success_rate,stats_o/mean,stats_g/std,test/mean_Q,stats_o/std,epoch
0.35,1780.0,0.83746785,8900.0,0.2,0.2010837,0.08019001,-17.484629,0.074045666,88
0.3,1800.0,0.8374929,9000.0,0.32,0.20109518,0.08021503,-17.708912,0.07425311,89
0.4,1820.0,0.8375058,9100.0,0.31,0.2011329,0.08012829,-14.115811,0.074646436,90
0.35,1840.0,0.83748585,9200.0,0.23,0.20115946,0.08015263,-14.576981,0.07534521,91
0.45,1860.0,0.8375321,9300.0,0.36,0.20120029,0.08011528,-11.0993595,0.07565481,92
0.2,1880.0,0.8374842,9400.0,0.36,0.20116913,0.08000656,-13.731247,0.07599346,93
0.55,1900.0,0.8374522,9500.0,0.36,0.20120412,0.0799054,-8.973824,0.07618199,94
0.55,1920.0,0.8373465,9600.0,0.31,0.20118946,0.07980832,-9.360184,0.07633258,95
0.3,1940.0,0.83729774,9700.0,0.4,0.20119403,0.07975135,-14.828751,0.07657342,96
0.45,1960.0,0.8372708,9800.0,0.41,0.20117666,0.079708636,-11.3348465,0.076913014,97
0.55,1980.0,0.83723325,9900.0,0.36,0.20112753,0.079684325,-10.28399,0.07773128,98
0.6,2000.0,0.8372733,10000.0,0.39,0.20113528,0.07957963,-9.070462,0.077878535,99
0.55,2020.0,0.8372512,10100.0,0.4,0.20117119,0.079597704,-8.9937105,0.07828798,100
0.6,2040.0,0.8372424,10200.0,0.48,0.20114627,0.07950765,-11.37165,0.07869762,101
0.45,2060.0,0.837235,10300.0,0.51,0.2011268,0.07949022,-10.680535,0.07904252,102
0.45,2080.0,0.8372159,10400.0,0.41,0.2011189,0.07939181,-10.825432,0.07924078,103
0.7,2100.0,0.8372192,10500.0,0.5,0.2011118,0.079278655,-7.038066,0.07977946,104
0.6,2120.0,0.83720845,10600.0,0.49,0.2011,0.07917536,-7.0407333,0.08025588,105
0.6,2140.0,0.83722425,10700.0,0.43,0.20115115,0.07922798,-8.050228,0.08068118,106
0.7,2160.0,0.8372993,10800.0,0.44,0.20121223,0.079134,-7.9401116,0.081239566,107
0.5,2180.0,0.83721954,10900.0,0.53,0.20119123,0.07913534,-7.8882346,0.08170619,108
0.45,2200.0,0.8372496,11000.0,0.43,0.20116842,0.079035275,-11.793145,0.08239617,109
0.5,2220.0,0.83728415,11100.0,0.58,0.20117842,0.07903101,-10.774828,0.08311785,110
0.55,2240.0,0.8373242,11200.0,0.38,0.201215,0.07903162,-8.456024,0.083956786,111
0.65,2260.0,0.8373663,11300.0,0.57,0.20118429,0.078933164,-4.8780785,0.084483154,112
0.8,2280.0,0.83733934,11400.0,0.52,0.20121773,0.07887738,-4.1329656,0.085084915,113
0.6,2300.0,0.8373712,11500.0,0.55,0.20119914,0.07877697,-9.122472,0.085580416,114
0.65,2320.0,0.8374494,11600.0,0.55,0.2011917,0.07875789,-7.038993,0.08628606,115
0.65,2340.0,0.83745193,11700.0,0.5,0.20124704,0.07878398,-4.531928,0.087037496,116
0.75,2360.0,0.8374327,11800.0,0.58,0.20119087,0.07879652,-4.766318,0.08771744,117
0.9,2380.0,0.8374257,11900.0,0.64,0.20116447,0.07881106,-3.6404145,0.08809455,118
0.7,2400.0,0.837416,12000.0,0.64,0.20120138,0.07871789,-4.9985094,0.088741586,119
0.7,2420.0,0.8374209,12100.0,0.6,0.20118514,0.07862182,-5.1207952,0.08924321,120
0.7,2440.0,0.83738613,12200.0,0.54,0.20125587,0.07875024,-4.213485,0.090040274,121
0.65,2460.0,0.8374085,12300.0,0.62,0.20121597,0.078852676,-6.3118525,0.09068902,122
0.6,2480.0,0.83746856,12400.0,0.6,0.20123877,0.07875648,-5.4600935,0.09140435,123
0.7,2500.0,0.8374724,12500.0,0.58,0.20122415,0.07888246,-5.56339,0.09218247,124
0.65,2520.0,0.8374415,12600.0,0.62,0.20119122,0.078867994,-4.8977017,0.092741355,125
0.6,2540.0,0.83743477,12700.0,0.59,0.20123234,0.078987926,-6.265134,0.09346734,126
0.7,2560.0,0.83741546,12800.0,0.68,0.20118347,0.078972526,-4.806123,0.09396819,127
0.7,2580.0,0.83744246,12900.0,0.74,0.20118804,0.07890753,-5.915975,0.094477005,128
0.65,2600.0,0.8374507,13000.0,0.63,0.20118876,0.078896634,-4.084104,0.09499022,129
0.85,2620.0,0.83747274,13100.0,0.7,0.20120151,0.078981236,-3.6646092,0.09546103,130
0.95,2640.0,0.8374369,13200.0,0.72,0.20120412,0.078958936,-2.1648917,0.09596396,131
0.85,2660.0,0.837435,13300.0,0.69,0.20118988,0.078862585,-3.2610135,0.09642659,132
0.85,2680.0,0.8374462,13400.0,0.72,0.20120575,0.078812875,-4.242606,0.09691756,133
0.9,2700.0,0.83744884,13500.0,0.73,0.20119789,0.07878628,-2.7158227,0.097305864,134
0.8,2720.0,0.83744615,13600.0,0.72,0.20123798,0.07875712,-3.1611526,0.0976492,135
0.8,2740.0,0.8374629,13700.0,0.8,0.20120668,0.078794986,-3.18436,0.09797409,136
0.9,2760.0,0.83747077,13800.0,0.7,0.20125285,0.07876786,-3.0125072,0.09844892,137
1.0,2780.0,0.8375018,13900.0,0.81,0.2013261,0.07872593,-2.4629698,0.09895242,138
0.65,2800.0,0.8375111,14000.0,0.75,0.20134094,0.078719236,-5.2466283,0.099390075,139
0.75,2820.0,0.8375134,14100.0,0.8,0.20132482,0.07866337,-5.5069075,0.099722154,140
0.95,2840.0,0.83747655,14200.0,0.74,0.20135847,0.078863464,-2.1673887,0.10023923,141
0.85,2860.0,0.83745646,14300.0,0.75,0.20135483,0.0788224,-3.1468987,0.100613944,142
1.0,2880.0,0.83742374,14400.0,0.75,0.20133245,0.07883305,-2.119825,0.10102875,143
0.9,2900.0,0.8373731,14500.0,0.77,0.20135273,0.07883782,-2.3936534,0.10146543,144
0.95,2920.0,0.8373597,14600.0,0.83,0.2013524,0.07882032,-2.376535,0.10190225,145
0.95,2940.0,0.8373541,14700.0,0.79,0.2013444,0.07878431,-3.6111255,0.10238843,146
0.9,2960.0,0.8373936,14800.0,0.88,0.20139109,0.07871862,-3.0387497,0.10261976,147
0.85,2980.0,0.8373921,14900.0,0.91,0.20143189,0.07864594,-2.6306617,0.10292401,148
0.95,3000.0,0.8373912,15000.0,0.85,0.20147417,0.078646086,-2.259309,0.10314508,149
0.95,3020.0,0.83736974,15100.0,0.84,0.2014659,0.078551605,-1.9095545,0.10333887,150
0.95,3040.0,0.8374319,15200.0,0.87,0.20148027,0.07848079,-4.094026,0.10365766,151
0.95,3060.0,0.8374192,15300.0,0.85,0.20146695,0.07850427,-2.9915898,0.103904665,152
1.0,3080.0,0.8373894,15400.0,0.87,0.2014846,0.07843644,-1.4224283,0.10413298,153
0.95,3100.0,0.8374036,15500.0,0.83,0.20142351,0.0783544,-3.159967,0.10433375,154
0.95,3120.0,0.8374463,15600.0,0.88,0.2014145,0.07837012,-2.144637,0.10472241,155
0.95,3140.0,0.8374262,15700.0,0.87,0.20143038,0.07834821,-2.240864,0.105021924,156
1.0,3160.0,0.8374253,15800.0,0.88,0.2013829,0.07835135,-1.8093475,0.105207846,157
0.9,3180.0,0.83740854,15900.0,0.95,0.20136736,0.07834852,-2.579167,0.105406374,158
0.9,3200.0,0.8374116,16000.0,0.93,0.20137043,0.07828092,-3.6637287,0.10561505,159
1.0,3220.0,0.83739835,16100.0,0.83,0.20137945,0.07836129,-1.6047285,0.1058264,160
1.0,3240.0,0.83740824,16200.0,0.9,0.20136148,0.0783425,-1.2969875,0.106017716,161
1.0,3260.0,0.8374116,16300.0,0.89,0.20139171,0.07826934,-1.3545395,0.106256835,162
1.0,3280.0,0.83739537,16400.0,0.92,0.20138071,0.078191556,-1.2579197,0.1063683,163
0.95,3300.0,0.837421,16500.0,0.95,0.20135207,0.07812787,-1.485362,0.10649607,164
0.95,3320.0,0.8374353,16600.0,0.95,0.20134844,0.07809309,-1.478238,0.10663949,165
0.95,3340.0,0.83742636,16700.0,0.92,0.20139039,0.07801037,-1.9969301,0.10674752,166
1.0,3360.0,0.83748955,16800.0,0.86,0.20141542,0.07800743,-2.077887,0.10693305,167
1.0,3380.0,0.8374927,16900.0,0.94,0.20139769,0.07800863,-1.6410208,0.10706691,168
1.0,3400.0,0.8375008,17000.0,0.91,0.20139252,0.07794244,-1.527384,0.10725253,169
0.95,3420.0,0.83747596,17100.0,0.9,0.20140171,0.077964835,-3.2941964,0.10751088,170
1.0,3440.0,0.83751076,17200.0,0.92,0.20142305,0.07789315,-1.3201649,0.1076732,171
1.0,3460.0,0.8375097,17300.0,0.93,0.2014289,0.077854626,-1.2127242,0.107801676,172
1.0,3480.0,0.83751583,17400.0,0.94,0.2014161,0.077790596,-1.2992084,0.107857525,173
1.0,3500.0,0.8375144,17500.0,0.9,0.20143262,0.07776163,-1.4943018,0.10799668,174
1.0,3520.0,0.8375175,17600.0,0.9,0.20144925,0.077696025,-1.1460681,0.108130425,175
1.0,3540.0,0.8375787,17700.0,0.86,0.20145689,0.0777336,-1.2358915,0.10831345,176
0.95,3560.0,0.8375738,17800.0,0.96,0.20146507,0.07766093,-1.3370721,0.10839786,177
1.0,3580.0,0.83758855,17900.0,0.88,0.20146342,0.07762293,-1.5914059,0.1084888,178
1.0,3600.0,0.8375792,18000.0,0.95,0.20147087,0.077551946,-1.4356234,0.10859004,179
1.0,3620.0,0.8375657,18100.0,0.92,0.20148666,0.07748439,-1.3980583,0.108692445,180
1.0,3640.0,0.8375667,18200.0,0.95,0.20148987,0.07741606,-1.2179295,0.10874966,181
1.0,3660.0,0.8375263,18300.0,0.91,0.20147087,0.077334054,-1.7172928,0.10886021,182
1.0,3680.0,0.8375833,18400.0,0.93,0.20149672,0.0772899,-1.3250916,0.10894279,183
1.0,3700.0,0.83754665,18500.0,0.96,0.20149928,0.0772238,-1.3920228,0.108944245,184
1.0,3720.0,0.83757025,18600.0,0.96,0.20150752,0.07720623,-1.400214,0.10902486,185
1.0,3740.0,0.8375378,18700.0,0.93,0.20148058,0.07718053,-1.2768314,0.109164685,186
1.0,3760.0,0.83759123,18800.0,0.91,0.20147137,0.07719157,-1.5800216,0.1092746,187
1.0,3780.0,0.8376109,18900.0,0.9,0.20146492,0.07717853,-1.7708,0.109363146,188
