train/success_rate,stats_g/mean,train/episode,test/mean_Q,test/episode,stats_g/std,stats_o/std,epoch,stats_o/mean,test/success_rate
0.85,0.8760972,2320.0,-0.06961421,2320.0,0.08495929,0.030542666,115,0.2628634,1.0
0.6,0.8760965,2340.0,-0.06814923,2340.0,0.08491557,0.03053075,116,0.26286763,1.0
0.75,0.8761518,2360.0,-0.045833696,2360.0,0.084888496,0.030522227,117,0.26288497,1.0
0.55,0.87602377,2380.0,-0.07111148,2380.0,0.084902614,0.030525345,118,0.26284787,1.0
0.75,0.8760252,2400.0,-0.047956586,2400.0,0.0849253,0.030532379,119,0.2628501,1.0
0.8,0.8761017,2420.0,-0.04066514,2420.0,0.08495165,0.030545626,120,0.26287356,1.0
0.6,0.876349,2440.0,-0.06751569,2440.0,0.0850508,0.030569624,121,0.26294175,1.0
0.65,0.8762946,2460.0,-0.068502046,2460.0,0.085033566,0.030565757,122,0.26292276,1.0
0.85,0.87629575,2480.0,-0.05818777,2480.0,0.084985316,0.03055181,123,0.26292104,1.0
0.85,0.87621427,2500.0,-0.030433515,2500.0,0.08492454,0.030538047,124,0.26289976,1.0
0.65,0.87617725,2520.0,-0.03048492,2520.0,0.08490482,0.030531675,125,0.2628877,1.0
0.7,0.8761378,2540.0,-0.035490233,2540.0,0.08485761,0.030521015,126,0.26287478,1.0
0.8,0.87605244,2560.0,-0.07640849,2560.0,0.08485511,0.030519644,127,0.26284927,1.0
0.5,0.8759795,2580.0,-0.031786118,2580.0,0.08483726,0.03051348,128,0.26282832,1.0
0.75,0.8760567,2600.0,-0.0563115,2600.0,0.084776044,0.03049602,129,0.2628464,1.0
0.6,0.8759151,2620.0,-0.043579914,2620.0,0.084772706,0.030491719,130,0.26280743,1.0
0.65,0.87589806,2640.0,-0.03928685,2640.0,0.08472823,0.03047705,131,0.26280922,1.0
0.7,0.8759425,2660.0,-0.04354612,2660.0,0.08470353,0.03047065,132,0.26281896,1.0
0.75,0.8759338,2680.0,-0.02205031,2680.0,0.08471253,0.030471778,133,0.26281184,1.0
0.7,0.87598234,2700.0,-0.070928976,2700.0,0.084730685,0.030474907,134,0.2628178,1.0
0.7,0.87597865,2720.0,-0.044658616,2720.0,0.08475977,0.03048176,135,0.26281816,1.0
0.5,0.8760106,2740.0,-0.037471212,2740.0,0.08473164,0.03047495,136,0.26282603,1.0
0.7,0.8760055,2760.0,-0.052242793,2760.0,0.08473436,0.03047727,137,0.2628205,1.0
0.9,0.8760523,2780.0,-0.06628906,2780.0,0.08474839,0.03047871,138,0.26283127,1.0
0.75,0.8759451,2800.0,-0.055161066,2800.0,0.08472047,0.030474085,139,0.2627986,1.0
0.85,0.8757685,2820.0,-0.08494562,2820.0,0.08476561,0.030488122,140,0.26275298,1.0
0.85,0.87575907,2840.0,-0.0726292,2840.0,0.08481764,0.030495143,141,0.26275438,1.0
0.85,0.875788,2860.0,-0.061103184,2860.0,0.08483075,0.030497456,142,0.2627595,1.0
0.65,0.8757899,2880.0,-0.069663756,2880.0,0.084848344,0.03050211,143,0.262763,1.0
0.5,0.8758151,2900.0,-0.045570828,2900.0,0.08484159,0.030503917,144,0.26276875,1.0
0.85,0.8757648,2920.0,-0.053004663,2920.0,0.08484101,0.030504595,145,0.26275763,1.0
0.8,0.87570935,2940.0,-0.08274124,2940.0,0.08490014,0.030518264,146,0.26274264,1.0
0.7,0.8756687,2960.0,-0.07082422,2960.0,0.08488544,0.030513585,147,0.26273116,1.0
0.8,0.87578374,2980.0,-0.058934093,2980.0,0.08490795,0.030521173,148,0.2627622,1.0
0.8,0.87573195,3000.0,-0.066227295,3000.0,0.084871314,0.03051211,149,0.2627514,1.0
0.6,0.8757591,3020.0,-0.08751918,3020.0,0.084949106,0.030533057,150,0.2627603,1.0
0.8,0.87575984,3040.0,-0.06439344,3040.0,0.08490575,0.030521387,151,0.262758,1.0
0.75,0.8758673,3060.0,-0.06673576,3060.0,0.084966354,0.030532125,152,0.26278442,1.0
0.8,0.8758653,3080.0,-0.060623717,3080.0,0.08495786,0.030529475,153,0.26278734,1.0
0.75,0.8758755,3100.0,-0.027709156,3100.0,0.08497754,0.030540418,154,0.26279122,1.0
0.8,0.8759613,3120.0,-0.09246868,3120.0,0.08502885,0.030554632,155,0.26281384,1.0
0.9,0.87595505,3140.0,-0.0659165,3140.0,0.085079975,0.030567687,156,0.262817,1.0
0.75,0.87599295,3160.0,-0.047105294,3160.0,0.085083425,0.030569028,157,0.26282975,1.0
0.95,0.8760268,3180.0,-0.07330215,3180.0,0.08509719,0.030570205,158,0.2628383,1.0
0.65,0.87600964,3200.0,-0.084480256,3200.0,0.08514165,0.030585479,159,0.26283228,1.0
0.8,0.87600416,3220.0,-0.053133816,3220.0,0.08508706,0.030570555,160,0.26283094,1.0
0.75,0.8760867,3240.0,-0.07817293,3240.0,0.085099064,0.030570125,161,0.26285335,1.0
0.75,0.87607217,3260.0,-0.04454744,3260.0,0.08510118,0.030569365,162,0.26285005,1.0
0.8,0.87620354,3280.0,-0.07495604,3280.0,0.085113525,0.030573124,163,0.26288557,1.0
0.65,0.8762292,3300.0,-0.055177473,3300.0,0.085112594,0.030576002,164,0.26289403,1.0
0.75,0.8763113,3320.0,-0.050248493,3320.0,0.08506922,0.030563697,165,0.2629174,1.0
0.7,0.87639284,3340.0,-0.07839201,3340.0,0.0851033,0.030572966,166,0.26294047,1.0
0.6,0.8763137,3360.0,-0.05940827,3360.0,0.085092306,0.030566737,167,0.26291484,1.0
0.75,0.8762973,3380.0,-0.038792457,3380.0,0.085075475,0.03055892,168,0.26291347,1.0
0.75,0.8763172,3400.0,-0.057830393,3400.0,0.08509921,0.030565053,169,0.26291364,1.0
0.7,0.8763525,3420.0,-0.08626826,3420.0,0.08512459,0.03057321,170,0.26292217,1.0
0.65,0.87639326,3440.0,-0.06315546,3440.0,0.08513575,0.030576026,171,0.26293305,1.0
0.75,0.8764276,3460.0,-0.041541975,3460.0,0.08510592,0.030570116,172,0.26294068,1.0
0.85,0.8762625,3480.0,-0.07358331,3480.0,0.08515516,0.030578945,173,0.26289627,1.0
0.8,0.8763151,3500.0,-0.04935962,3500.0,0.085151285,0.030578593,174,0.2629094,1.0
0.65,0.87635547,3520.0,-0.049898833,3520.0,0.08512649,0.0305736,175,0.26292333,1.0
0.7,0.87635165,3540.0,-0.06767819,3540.0,0.085164525,0.030583367,176,0.2629247,1.0
0.65,0.8764419,3560.0,-0.06540544,3560.0,0.0852004,0.030589443,177,0.26294798,1.0
0.7,0.87647814,3580.0,-0.056119036,3580.0,0.08519471,0.030585516,178,0.26295733,1.0
0.8,0.87650114,3600.0,-0.0721278,3600.0,0.08523499,0.03059442,179,0.26296452,1.0
0.9,0.8765934,3620.0,-0.07629679,3620.0,0.08526951,0.03060245,180,0.26298705,1.0
0.65,0.8766177,3640.0,-0.059339218,3640.0,0.08527846,0.030603701,181,0.26299244,1.0
0.75,0.8765289,3660.0,-0.060950316,3660.0,0.08533249,0.030616943,182,0.26296815,1.0
0.75,0.87642103,3680.0,-0.055495333,3680.0,0.08529704,0.030609349,183,0.26294145,1.0
0.55,0.8764429,3700.0,-0.014077748,3700.0,0.085241236,0.030593827,184,0.26294786,1.0
0.75,0.8764542,3720.0,-0.056856524,3720.0,0.08522949,0.03058792,185,0.26295277,1.0
0.9,0.87636954,3740.0,-0.062848106,3740.0,0.08522096,0.03058609,186,0.26293075,1.0
