stats_o/std,test/success_rate,test/episode,stats_g/mean,stats_g/std,test/mean_Q,stats_o/mean,train/episode,epoch,train/success_rate
0.08056684,0.05,620.0,0.8453103,0.09932852,-31.342377,0.20435189,3100.0,30,0.02
0.080661625,0.05,640.0,0.84505826,0.09931749,-25.364088,0.20423932,3200.0,31,0.09
0.08091807,0.0,660.0,0.84501094,0.099075355,-23.051117,0.2042774,3300.0,32,0.13
0.081831455,0.1,680.0,0.84509283,0.09898621,-26.606762,0.20425095,3400.0,33,0.08
0.082657404,0.05,700.0,0.84513587,0.09898292,-23.775593,0.20422207,3500.0,34,0.09
0.083905414,0.25,720.0,0.84499234,0.09943953,-22.970055,0.20425048,3600.0,35,0.06
0.08502004,0.05,740.0,0.84496665,0.09970013,-23.437185,0.20430048,3700.0,36,0.17
0.0857247,0.15,760.0,0.84494156,0.10012835,-19.992983,0.20429307,3800.0,37,0.06
0.08638814,0.15,780.0,0.8447991,0.10029242,-25.255552,0.20427868,3900.0,38,0.07
0.08678011,0.15,800.0,0.84473133,0.10013199,-21.800009,0.20427915,4000.0,39,0.14
0.086959,0.15,820.0,0.84467036,0.10010511,-21.758976,0.20428583,4100.0,40,0.11
0.08761746,0.05,840.0,0.8445735,0.10030219,-22.68463,0.20427944,4200.0,41,0.05
0.08823571,0.05,860.0,0.84452605,0.10038763,-24.142622,0.2041885,4300.0,42,0.11
0.08866995,0.15,880.0,0.84439903,0.10042884,-19.8433,0.20428985,4400.0,43,0.08
0.08926919,0.2,900.0,0.8441916,0.100599594,-23.935806,0.20417991,4500.0,44,0.09
0.089942895,0.3,920.0,0.8443373,0.10063267,-23.349638,0.20415215,4600.0,45,0.11
0.09073073,0.05,940.0,0.84424824,0.10073545,-25.31516,0.20414491,4700.0,46,0.12
0.09136536,0.25,960.0,0.8442447,0.100866,-18.879118,0.20419173,4800.0,47,0.04
0.09218132,0.2,980.0,0.8442509,0.101066016,-19.334377,0.2040556,4900.0,48,0.12
0.09313842,0.15,1000.0,0.8443527,0.10088665,-28.416403,0.20414743,5000.0,49,0.03
0.09373148,0.2,1020.0,0.84426284,0.10127432,-24.066435,0.20414034,5100.0,50,0.11
0.094290644,0.15,1040.0,0.8440671,0.101538725,-26.236462,0.20404457,5200.0,51,0.17
0.09495,0.15,1060.0,0.8440562,0.10139859,-26.59935,0.20402329,5300.0,52,0.13
0.095670864,0.4,1080.0,0.84397626,0.101439245,-18.185585,0.20398234,5400.0,53,0.22
0.09649463,0.1,1100.0,0.8439414,0.10140208,-24.387339,0.20398255,5500.0,54,0.14
0.09734743,0.3,1120.0,0.8439538,0.101779036,-22.770662,0.20403937,5600.0,55,0.18
0.09785345,0.15,1140.0,0.843878,0.10193133,-21.055567,0.20406274,5700.0,56,0.16
0.09881652,0.1,1160.0,0.84386414,0.102053694,-26.34527,0.20411034,5800.0,57,0.12
0.09951505,0.2,1180.0,0.8439552,0.10211753,-19.591679,0.20406623,5900.0,58,0.2
0.10035893,0.4,1200.0,0.84400576,0.102178074,-17.438889,0.20411016,6000.0,59,0.17
0.10064527,0.3,1220.0,0.8439443,0.10235619,-17.903215,0.20404705,6100.0,60,0.2
0.10102438,0.2,1240.0,0.8440397,0.102320135,-24.286497,0.20405458,6200.0,61,0.22
0.10127351,0.2,1260.0,0.8441467,0.102532245,-16.75127,0.20396928,6300.0,62,0.26
