stats_g/mean,stats_o/std,stats_o/mean,epoch,test/episode,stats_g/std,test/success_rate,train/success_rate,test/mean_Q,train/episode
0.8389043,0.051373146,0.20121962,91,1840.0,0.060817823,0.15,0.05,-8.190391,9200.0
0.8389199,0.051577874,0.20122437,92,1860.0,0.06082448,0.15,0.09,-6.375652,9300.0
0.83892035,0.05151617,0.20122255,93,1880.0,0.06085903,0.0,0.13,-7.365535,9400.0
0.8388578,0.051659297,0.20123395,94,1900.0,0.06089656,0.15,0.05,-5.9138355,9500.0
0.8388112,0.05166421,0.20121834,95,1920.0,0.060934167,0.1,0.09,-6.239807,9600.0
0.8388419,0.05177687,0.20120546,96,1940.0,0.060899407,0.05,0.11,-8.183486,9700.0
0.83885694,0.051997386,0.20121881,97,1960.0,0.060934797,0.1,0.12,-8.293414,9800.0
0.8388651,0.052024752,0.20121853,98,1980.0,0.060950164,0.05,0.04,-7.8173676,9900.0
0.8388533,0.05214407,0.20123528,99,2000.0,0.060959503,0.25,0.08,-6.192851,10000.0
0.838875,0.052328862,0.20123231,100,2020.0,0.060949862,0.0,0.09,-6.960997,10100.0
0.838819,0.05240823,0.2012397,101,2040.0,0.06093873,0.05,0.07,-7.564841,10200.0
0.8388281,0.052575454,0.20124477,102,2060.0,0.060905512,0.0,0.04,-8.104297,10300.0
0.8388705,0.052587442,0.20124055,103,2080.0,0.06094164,0.05,0.08,-7.4805727,10400.0
0.83891916,0.052717887,0.20125091,104,2100.0,0.0609599,0.0,0.08,-7.0347795,10500.0
0.8389189,0.053079024,0.20126662,105,2120.0,0.06097653,0.05,0.08,-6.3757772,10600.0
0.8388725,0.05327305,0.20128995,106,2140.0,0.06099042,0.05,0.09,-6.759961,10700.0
0.838872,0.053562477,0.20129736,107,2160.0,0.060990438,0.05,0.05,-7.4419847,10800.0
0.83882314,0.053700306,0.201306,108,2180.0,0.060984835,0.05,0.1,-6.8249044,10900.0
0.8388303,0.05385668,0.20129676,109,2200.0,0.06098233,0.05,0.05,-7.458692,11000.0
0.83884364,0.053863786,0.2013001,110,2220.0,0.06097969,0.0,0.08,-7.3174715,11100.0
0.83885187,0.053918604,0.20129633,111,2240.0,0.060991194,0.15,0.05,-7.56604,11200.0
0.83884937,0.054023907,0.20128906,112,2260.0,0.060998205,0.05,0.04,-6.11675,11300.0
0.8387699,0.054087847,0.20130435,113,2280.0,0.061010834,0.05,0.07,-6.027527,11400.0
0.8387742,0.05409186,0.20130245,114,2300.0,0.06100854,0.0,0.08,-7.553553,11500.0
0.83876467,0.05421993,0.2013319,115,2320.0,0.061007496,0.05,0.06,-7.0990915,11600.0
0.8387237,0.054375224,0.2013362,116,2340.0,0.061022546,0.2,0.02,-5.755365,11700.0
0.8386604,0.054575052,0.20133637,117,2360.0,0.06102783,0.15,0.09,-6.404699,11800.0
0.8386356,0.05469777,0.20132983,118,2380.0,0.061034027,0.1,0.05,-6.9460936,11900.0
0.8386035,0.054848056,0.20131811,119,2400.0,0.06103988,0.05,0.08,-6.5112977,12000.0
0.838573,0.054911986,0.20133522,120,2420.0,0.061034832,0.1,0.07,-7.4917793,12100.0
0.83855504,0.054897904,0.20135035,121,2440.0,0.061023235,0.15,0.03,-6.0828958,12200.0
0.8385587,0.05491264,0.20136034,122,2460.0,0.06105962,0.05,0.09,-6.5165033,12300.0
0.8386157,0.055089522,0.20134813,123,2480.0,0.061079804,0.05,0.08,-7.275519,12400.0
0.838617,0.05527786,0.20136777,124,2500.0,0.061082784,0.05,0.05,-6.287317,12500.0
0.8385934,0.055408303,0.20134503,125,2520.0,0.061077967,0.05,0.02,-5.737934,12600.0
0.8385834,0.05563627,0.20133577,126,2540.0,0.06107774,0.0,0.07,-7.904358,12700.0
0.8385634,0.056087352,0.20129924,127,2560.0,0.06109047,0.05,0.07,-7.272882,12800.0
0.8385678,0.056098733,0.2012913,128,2580.0,0.061089203,0.0,0.07,-7.632356,12900.0
0.83853173,0.056150295,0.20131627,129,2600.0,0.061088745,0.1,0.07,-6.726064,13000.0
0.8385442,0.056166552,0.20131546,130,2620.0,0.061106388,0.15,0.18,-7.4128585,13100.0
0.8385168,0.056097403,0.20129387,131,2640.0,0.06109791,0.1,0.08,-5.5367403,13200.0
0.8384907,0.056165896,0.20129631,132,2660.0,0.061085645,0.1,0.1,-6.512922,13300.0
0.83851886,0.056313466,0.201309,133,2680.0,0.061069246,0.15,0.11,-7.231149,13400.0
0.838512,0.056410618,0.2012938,134,2700.0,0.061060067,0.25,0.06,-5.965192,13500.0
0.83850247,0.05649495,0.20130034,135,2720.0,0.06105353,0.15,0.09,-5.3867073,13600.0
0.8385267,0.056556854,0.2012897,136,2740.0,0.06103826,0.0,0.07,-6.3637667,13700.0
0.8385513,0.056571923,0.20127925,137,2760.0,0.061031494,0.05,0.04,-6.8059287,13800.0
0.8385699,0.0569058,0.20127836,138,2780.0,0.061023567,0.0,0.04,-7.5503755,13900.0
0.83858013,0.057042256,0.20126949,139,2800.0,0.061031487,0.05,0.07,-7.1486015,14000.0
0.8385771,0.057081994,0.2012813,140,2820.0,0.061015878,0.0,0.06,-8.548178,14100.0
0.838567,0.057194356,0.2012703,141,2840.0,0.06102186,0.05,0.06,-6.3782344,14200.0
0.838551,0.057260904,0.20126928,142,2860.0,0.061036427,0.0,0.09,-7.1914625,14300.0
0.83853704,0.057334114,0.20126829,143,2880.0,0.061039295,0.05,0.1,-6.736415,14400.0
0.8384938,0.057352528,0.20126171,144,2900.0,0.061018284,0.05,0.08,-7.221854,14500.0
0.8384796,0.057486754,0.20127219,145,2920.0,0.061031144,0.05,0.09,-8.1659,14600.0
0.83847433,0.05752071,0.20127219,146,2940.0,0.06103973,0.1,0.11,-7.648565,14700.0
0.83851194,0.057586268,0.20127006,147,2960.0,0.06104779,0.05,0.09,-6.9724073,14800.0
0.83851266,0.057603132,0.2012817,148,2980.0,0.06104572,0.1,0.03,-6.6016793,14900.0
0.8385024,0.05768977,0.20126492,149,3000.0,0.06105927,0.05,0.11,-7.215762,15000.0
0.83849716,0.057870757,0.20123443,150,3020.0,0.0610346,0.0,0.03,-6.8843756,15100.0
0.83855313,0.058054265,0.20124818,151,3040.0,0.06103632,0.15,0.08,-6.1013412,15200.0
0.8385396,0.05812928,0.20123462,152,3060.0,0.061055597,0.1,0.07,-6.616046,15300.0
0.83850783,0.058313917,0.20124124,153,3080.0,0.061067764,0.05,0.02,-5.887145,15400.0
0.83851224,0.05844471,0.20124394,154,3100.0,0.06106168,0.05,0.08,-6.553534,15500.0
0.8385542,0.058484573,0.20123273,155,3120.0,0.061056633,0.0,0.05,-6.584283,15600.0
0.83853227,0.058539573,0.20122533,156,3140.0,0.06106248,0.0,0.07,-7.270522,15700.0
0.83853716,0.058589187,0.20121449,157,3160.0,0.061052844,0.1,0.08,-5.3002176,15800.0
0.8385258,0.05875392,0.20119853,158,3180.0,0.061052155,0.1,0.05,-6.3179674,15900.0
0.8385288,0.058771588,0.20118347,159,3200.0,0.0610463,0.1,0.05,-7.566162,16000.0
0.83853054,0.058858,0.20118436,160,3220.0,0.06106693,0.0,0.06,-6.7086105,16100.0
0.8385388,0.058834888,0.20118834,161,3240.0,0.061082765,0.2,0.07,-5.795153,16200.0
0.83853453,0.058875065,0.20118289,162,3260.0,0.061062578,0.15,0.1,-6.2323966,16300.0
0.83851796,0.05908316,0.20117564,163,3280.0,0.061060283,0.05,0.12,-5.391157,16400.0
0.83853036,0.059207782,0.20119701,164,3300.0,0.06105421,0.1,0.09,-6.3496,16500.0
0.8385401,0.059483733,0.20120269,165,3320.0,0.061075773,0.05,0.06,-5.8756304,16600.0
0.8385212,0.059604872,0.2012077,166,3340.0,0.061061773,0.05,0.14,-7.041774,16700.0
0.8385768,0.059667174,0.20122911,167,3360.0,0.06107301,0.05,0.06,-6.8511925,16800.0
0.8385672,0.05986418,0.20124206,168,3380.0,0.061072882,0.1,0.04,-6.832711,16900.0
0.83856004,0.05987806,0.20125008,169,3400.0,0.061064173,0.05,0.06,-6.3730483,17000.0
0.83853024,0.059954282,0.20126152,170,3420.0,0.06107497,0.05,0.06,-6.849968,17100.0
0.83856416,0.060057465,0.20126408,171,3440.0,0.06107898,0.05,0.08,-7.610443,17200.0
0.8385393,0.06004057,0.20128718,172,3460.0,0.061065003,0.15,0.09,-6.3264985,17300.0
