stats_g/mean,test/mean_Q,epoch,test/episode,test/success_rate,train/episode,stats_o/mean,stats_g/std,stats_o/std,train/success_rate
0.7933411,-14.468161,89,1800.0,0.45,9000.0,0.18862806,0.17479406,0.08804724,0.31
0.79375464,-9.941001,90,1820.0,0.55,9100.0,0.18870744,0.17455359,0.088070266,0.18
0.7938989,-15.142555,91,1840.0,0.5,9200.0,0.18870243,0.17457156,0.088253535,0.27
0.79421496,-11.515375,92,1860.0,0.6,9300.0,0.18879366,0.17474,0.088427305,0.21
0.79452413,-14.802264,93,1880.0,0.35,9400.0,0.1888852,0.17460912,0.08844285,0.2
0.79476374,-13.161021,94,1900.0,0.4,9500.0,0.18891858,0.17466657,0.08853456,0.17
0.7949254,-11.773342,95,1920.0,0.45,9600.0,0.18892309,0.17447002,0.08868865,0.21
0.79498166,-14.231259,96,1940.0,0.5,9700.0,0.18893869,0.17440826,0.08864751,0.14
0.79509515,-11.385636,97,1960.0,0.4,9800.0,0.18902606,0.1743346,0.08869848,0.15
0.79521984,-16.345112,98,1980.0,0.4,9900.0,0.18906355,0.17428489,0.08865376,0.19
0.7954047,-12.829516,99,2000.0,0.5,10000.0,0.18912593,0.17419004,0.08865369,0.15
0.7954231,-14.06795,100,2020.0,0.3,10100.0,0.18916799,0.1740254,0.08861522,0.17
0.79559904,-13.760981,101,2040.0,0.45,10200.0,0.1892197,0.17404549,0.08883697,0.14
0.7957739,-17.365465,102,2060.0,0.15,10300.0,0.18927003,0.17396797,0.08881248,0.24
0.7960654,-15.427747,103,2080.0,0.3,10400.0,0.18933521,0.17385821,0.08878283,0.23
0.7960723,-17.357342,104,2100.0,0.25,10500.0,0.18932314,0.1739171,0.088765725,0.12
0.796168,-16.903946,105,2120.0,0.4,10600.0,0.18935083,0.17398268,0.08885822,0.11
0.7965243,-16.587204,106,2140.0,0.4,10700.0,0.18941341,0.17378204,0.088862985,0.11
0.79665726,-17.180054,107,2160.0,0.4,10800.0,0.18946956,0.17378457,0.08884656,0.13
