test/success_rate,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/std,train/episode,stats_g/mean,stats_o/mean,test/episode
1.0,-0.5718496,91,0.086210735,0.65,0.02868614,1840.0,0.8762083,0.26282954,1840.0
1.0,-0.5272869,92,0.08627772,0.7,0.028702106,1860.0,0.8761077,0.26279727,1860.0
1.0,-0.516809,93,0.086230375,0.75,0.028696632,1880.0,0.8759013,0.26275426,1880.0
1.0,-0.56516266,94,0.08624515,0.65,0.02870908,1900.0,0.8759549,0.26276818,1900.0
1.0,-0.52563226,95,0.08623606,0.8,0.028707579,1920.0,0.87582785,0.2627413,1920.0
1.0,-0.5584614,96,0.08627558,0.5,0.028721705,1940.0,0.8759737,0.2627756,1940.0
1.0,-0.50489914,97,0.086263895,0.75,0.02871654,1960.0,0.8760322,0.26280445,1960.0
1.0,-0.49982905,98,0.086238176,0.75,0.028722938,1980.0,0.8757474,0.26273343,1980.0
1.0,-0.5341223,99,0.08633796,0.75,0.02876379,2000.0,0.8759063,0.2627759,2000.0
1.0,-0.5255979,100,0.086282335,0.65,0.02875181,2020.0,0.87587124,0.2627688,2020.0
1.0,-0.4999246,101,0.08625635,0.9,0.028752025,2040.0,0.87588173,0.2627637,2040.0
1.0,-0.57547206,102,0.08629548,0.6,0.028763816,2060.0,0.875987,0.2627888,2060.0
1.0,-0.4968759,103,0.08624079,0.75,0.02875885,2080.0,0.8761229,0.2628214,2080.0
1.0,-0.5801481,104,0.08621913,0.8,0.028764287,2100.0,0.87591964,0.26278022,2100.0
1.0,-0.5230875,105,0.086164065,0.85,0.02875176,2120.0,0.87600416,0.26279783,2120.0
1.0,-0.49077353,106,0.08610898,0.7,0.028744113,2140.0,0.87593824,0.26278412,2140.0
1.0,-0.4960299,107,0.08607622,0.8,0.028733378,2160.0,0.875784,0.2627489,2160.0
1.0,-0.5152632,108,0.08603558,0.7,0.028728034,2180.0,0.8757086,0.26274765,2180.0
1.0,-0.51667494,109,0.08604434,0.75,0.028740421,2200.0,0.8756229,0.26273254,2200.0
1.0,-0.5286117,110,0.085996814,0.7,0.028732514,2220.0,0.87572336,0.26276097,2220.0
1.0,-0.5056945,111,0.08596573,0.7,0.0287315,2240.0,0.8757193,0.26275793,2240.0
1.0,-0.6121522,112,0.08599099,0.75,0.028742015,2260.0,0.8756387,0.26274166,2260.0
1.0,-0.5122496,113,0.08597163,0.7,0.02873521,2280.0,0.87561387,0.26274,2280.0
1.0,-0.51310176,114,0.08588928,0.65,0.028711397,2300.0,0.8755196,0.262716,2300.0
1.0,-0.60619074,115,0.08589778,0.85,0.028716182,2320.0,0.8755045,0.2627201,2320.0
1.0,-0.5230534,116,0.08587891,0.55,0.028709095,2340.0,0.87548095,0.26272443,2340.0
1.0,-0.5228747,117,0.08585286,0.8,0.028703133,2360.0,0.87554866,0.2627347,2360.0
1.0,-0.5340384,118,0.0858613,0.75,0.028715018,2380.0,0.8754404,0.2627029,2380.0
1.0,-0.5403335,119,0.085885525,0.85,0.028724793,2400.0,0.8754332,0.26270705,2400.0
1.0,-0.56378305,120,0.08591479,0.75,0.028739566,2420.0,0.8755091,0.26272863,2420.0
1.0,-0.55603945,121,0.08599428,0.65,0.028760755,2440.0,0.8757468,0.26278648,2440.0
1.0,-0.57436025,122,0.0859951,0.75,0.028758055,2460.0,0.87570924,0.26276925,2460.0
1.0,-0.56191146,123,0.08593228,0.85,0.028747106,2480.0,0.87568957,0.26276702,2480.0
1.0,-0.5082748,124,0.08587178,0.9,0.028739655,2500.0,0.8755894,0.26274708,2500.0
1.0,-0.5244633,125,0.08586284,0.75,0.028736115,2520.0,0.87553185,0.26273683,2520.0
