stats_o/std,stats_g/mean,stats_g/std,train/episode,test/success_rate,epoch,test/mean_Q,train/success_rate,stats_o/mean,test/episode
0.030619135,0.8758902,0.08516928,1980.0,1.0,98,-0.08237397,0.9,0.26278648,1980.0
0.030658895,0.8760577,0.085312165,2000.0,1.0,99,-0.07080363,0.75,0.2628302,2000.0
0.030641735,0.8760163,0.08524699,2020.0,1.0,100,-0.029268425,0.6,0.2628172,2020.0
0.03063713,0.876018,0.08521714,2040.0,1.0,101,-0.061616004,0.9,0.26281586,2040.0
0.030643126,0.87610656,0.08525138,2060.0,1.0,102,-0.061935883,0.7,0.26284033,2060.0
0.030631762,0.8762381,0.085207045,2080.0,1.0,103,-0.04928099,0.75,0.26287872,2080.0
0.030628944,0.876061,0.08518698,2100.0,1.0,104,-0.056875825,0.8,0.2628338,2100.0
0.030613024,0.8761341,0.085115284,2120.0,1.0,105,-0.04573106,0.75,0.2628532,2120.0
0.030597975,0.87607026,0.08504947,2140.0,1.0,106,-0.06034995,0.7,0.26283756,2140.0
0.030585533,0.87590545,0.08501566,2160.0,1.0,107,-0.046636425,0.9,0.26279086,2160.0
0.030575976,0.87589806,0.084990986,2180.0,1.0,108,-0.09093302,0.8,0.26279157,2180.0
0.03058255,0.87582606,0.08502688,2200.0,1.0,109,-0.034827862,0.7,0.26277345,2200.0
0.030573538,0.87593746,0.085005105,2220.0,1.0,110,-0.04743406,0.75,0.26280487,2220.0
0.030565064,0.8759477,0.08499328,2240.0,1.0,111,-0.043363977,0.55,0.262806,2240.0
0.030568983,0.87589294,0.085004896,2260.0,1.0,112,-0.066469856,0.65,0.26278785,2260.0
0.03056339,0.875876,0.08497894,2280.0,1.0,113,-0.048271716,0.8,0.26278502,2280.0
0.030535948,0.8757748,0.08489171,2300.0,1.0,114,-0.049377788,0.8,0.26275766,2300.0
0.030537825,0.87578803,0.08488835,2320.0,1.0,115,-0.04720451,0.85,0.26276428,2320.0
0.030527081,0.87578887,0.08484908,2340.0,1.0,116,-0.055276208,0.6,0.26276964,2340.0
0.030518431,0.8758364,0.08482391,2360.0,1.0,117,-0.08240043,0.8,0.26278394,2360.0
0.030522877,0.8757164,0.08483815,2380.0,1.0,118,-0.034826864,0.55,0.26275,2380.0
0.030530874,0.8757184,0.08486102,2400.0,1.0,119,-0.06427868,0.75,0.26275355,2400.0
0.03054468,0.87580425,0.08489176,2420.0,1.0,120,-0.08209787,0.75,0.26277977,2420.0
0.030569602,0.8760498,0.084993325,2440.0,1.0,121,-0.086160235,0.65,0.26284772,2440.0
0.030563777,0.87600064,0.084974654,2460.0,1.0,122,-0.038123615,0.55,0.26283035,2460.0
0.03055204,0.8760042,0.084927656,2480.0,1.0,123,-0.037584774,0.75,0.2628294,2480.0
0.03053627,0.8759189,0.084863655,2500.0,1.0,124,-0.031494815,0.9,0.2628068,2500.0
0.03053033,0.87588817,0.084844775,2520.0,1.0,125,-0.03483058,0.65,0.26279753,2520.0
0.030521238,0.8758514,0.08480369,2540.0,1.0,126,-0.05777519,0.65,0.26278597,2540.0
0.030520728,0.8757658,0.084807046,2560.0,1.0,127,-0.057049684,0.8,0.26276082,2560.0
0.030515453,0.87569857,0.08479027,2580.0,1.0,128,-0.051285814,0.6,0.26274198,2580.0
0.030500317,0.8757774,0.08473248,2600.0,1.0,129,-0.048077233,0.75,0.26276106,2600.0
0.030497229,0.87564105,0.084729575,2620.0,1.0,130,-0.052555494,0.75,0.26272374,2620.0
0.030485582,0.875624,0.08468751,2640.0,1.0,131,-0.05313363,0.75,0.26272607,2640.0
0.030479286,0.8756673,0.08466362,2660.0,1.0,132,-0.029563803,0.7,0.26273558,2660.0
0.030482668,0.8756706,0.084676884,2680.0,1.0,133,-0.06003656,0.75,0.26273328,2680.0
0.030487508,0.87572414,0.08469933,2700.0,1.0,134,-0.08164295,0.7,0.26274064,2700.0
0.03049416,0.8757202,0.08472624,2720.0,1.0,135,-0.05807203,0.75,0.26274043,2720.0
0.030486878,0.87575597,0.08469903,2740.0,1.0,136,-0.05618782,0.45,0.26274988,2740.0
0.030489895,0.87575465,0.08470253,2760.0,1.0,137,-0.07107538,0.6,0.26274502,2760.0
0.03049221,0.8758103,0.08471823,2780.0,1.0,138,-0.06414156,0.95,0.26275915,2780.0
0.030488366,0.8757096,0.08469062,2800.0,1.0,139,-0.05749585,0.65,0.26272824,2800.0
0.030503845,0.8755331,0.08474357,2820.0,1.0,140,-0.083009794,0.9,0.26268253,2820.0
0.030510515,0.8755258,0.08479118,2840.0,1.0,141,-0.08715324,0.8,0.26268402,2840.0
0.030510595,0.87556076,0.08480061,2860.0,1.0,142,-0.061222572,0.85,0.2626915,2860.0
0.030514967,0.87556595,0.084816314,2880.0,1.0,143,-0.0756314,0.65,0.26269573,2880.0
0.030516967,0.875593,0.084809415,2900.0,1.0,144,-0.048069492,0.65,0.2627023,2900.0
0.03051795,0.8755489,0.084808744,2920.0,1.0,145,-0.057981085,0.8,0.2626932,2920.0
0.030530637,0.8754924,0.08486452,2940.0,1.0,146,-0.09807468,0.8,0.2626786,2940.0
0.030525422,0.8754573,0.084851064,2960.0,1.0,147,-0.065804,0.75,0.26266843,2960.0
0.030530844,0.8755813,0.08487043,2980.0,1.0,148,-0.089861974,0.75,0.26270217,2980.0
0.030522268,0.87553424,0.084838234,3000.0,1.0,149,-0.054797005,0.8,0.26269346,3000.0
0.03054389,0.8755579,0.08491703,3020.0,1.0,150,-0.099086076,0.75,0.26269972,3020.0
0.030530447,0.87556857,0.08486984,3040.0,1.0,151,-0.036406294,0.75,0.2627009,3040.0
0.030541584,0.8756786,0.08492897,3060.0,1.0,152,-0.07283494,0.75,0.26272807,3060.0
0.030540109,0.87567854,0.08492151,3080.0,1.0,153,-0.026735675,0.8,0.2627303,3080.0
0.03055041,0.8756864,0.08494132,3100.0,1.0,154,-0.06255634,0.8,0.26273337,3100.0
0.030565444,0.87577695,0.08499694,3120.0,1.0,155,-0.07246468,0.7,0.26275852,3120.0
