test/episode,test/mean_Q,epoch,stats_o/mean,stats_g/mean,test/success_rate,stats_o/std,train/episode,stats_g/std,train/success_rate
1900.0,-22.819504,94,0.2041232,0.8433865,0.45,0.1081779,9500.0,0.09883541,0.44
1920.0,-11.635969,95,0.20411927,0.8433954,0.65,0.10809385,9600.0,0.09871013,0.52
1940.0,-13.251814,96,0.20411961,0.8433959,0.65,0.108083926,9700.0,0.09874325,0.53
1960.0,-19.433784,97,0.20411234,0.84344244,0.55,0.10800954,9800.0,0.098668694,0.39
1980.0,-15.493425,98,0.20417112,0.84356016,0.55,0.10801682,9900.0,0.09873536,0.49
2000.0,-21.060932,99,0.20420833,0.84358215,0.5,0.10791472,10000.0,0.09865543,0.53
2020.0,-9.695432,100,0.20419842,0.8435635,0.7,0.10791597,10100.0,0.098525345,0.6
2040.0,-17.622349,101,0.20424053,0.84354526,0.6,0.10786713,10200.0,0.09846335,0.44
2060.0,-19.117336,102,0.20423244,0.843554,0.6,0.107865304,10300.0,0.09843456,0.49
2080.0,-14.641169,103,0.20426103,0.84359556,0.65,0.107925795,10400.0,0.098349415,0.46
2100.0,-11.811084,104,0.20424548,0.8435836,0.65,0.107834026,10500.0,0.09835583,0.52
2120.0,-22.246778,105,0.20423822,0.8435526,0.45,0.10781572,10600.0,0.09831498,0.55
2140.0,-13.68207,106,0.20425852,0.8435154,0.65,0.10771151,10700.0,0.09826114,0.47
2160.0,-15.091519,107,0.20422848,0.84352344,0.6,0.10773345,10800.0,0.098256975,0.39
2180.0,-22.961975,108,0.20422508,0.843483,0.4,0.107755125,10900.0,0.09835134,0.57
2200.0,-18.276646,109,0.20419647,0.84347874,0.55,0.107785285,11000.0,0.098423265,0.56
2220.0,-11.298584,110,0.20417227,0.84349865,0.65,0.107716285,11100.0,0.09831878,0.53
2240.0,-17.867641,111,0.20412989,0.84346944,0.5,0.10773617,11200.0,0.0984481,0.47
2260.0,-13.540476,112,0.20417187,0.8434427,0.65,0.10783873,11300.0,0.0986081,0.52
2280.0,-17.434822,113,0.20412147,0.8434348,0.6,0.10815356,11400.0,0.09897073,0.46
2300.0,-20.447647,114,0.2040868,0.84334755,0.4,0.10823383,11500.0,0.099159755,0.47
2320.0,-16.531038,115,0.20409364,0.84333974,0.6,0.10833077,11600.0,0.09923962,0.51
2340.0,-16.528477,116,0.20404081,0.84320694,0.5,0.10850794,11700.0,0.099482596,0.51
2360.0,-16.562643,117,0.2040042,0.84316206,0.5,0.108779304,11800.0,0.09974447,0.51
2380.0,-16.083763,118,0.20398043,0.84309596,0.6,0.10895222,11900.0,0.10012863,0.52
2400.0,-10.967551,119,0.20395033,0.8429985,0.7,0.10925066,12000.0,0.10047821,0.47
2420.0,-12.069365,120,0.20387104,0.84287244,0.6,0.10939691,12100.0,0.100713395,0.41
2440.0,-5.7813935,121,0.20383683,0.84283215,0.8,0.1094822,12200.0,0.10087111,0.39
2460.0,-8.12892,122,0.20380361,0.8428178,0.75,0.10947266,12300.0,0.10085819,0.42
2480.0,-6.9287186,123,0.20377268,0.8428211,0.8,0.10951032,12400.0,0.10095557,0.5
2500.0,-14.464739,124,0.20376463,0.8428324,0.6,0.1095104,12500.0,0.10087776,0.44
2520.0,-14.940877,125,0.20372981,0.8428068,0.6,0.109557256,12600.0,0.10090521,0.48
2540.0,-12.098446,126,0.2037413,0.8428276,0.6,0.10964975,12700.0,0.10095348,0.47
2560.0,-10.09692,127,0.20369007,0.8427944,0.65,0.10967789,12800.0,0.101030536,0.38
2580.0,-13.673502,128,0.2036767,0.84274906,0.65,0.10971359,12900.0,0.10101398,0.46
2600.0,-9.604479,129,0.20368686,0.8427227,0.7,0.10967235,13000.0,0.10101371,0.52
2620.0,-10.889994,130,0.20363127,0.842632,0.65,0.1097522,13100.0,0.10107019,0.55
2640.0,-7.6770034,131,0.20363162,0.8425692,0.75,0.10980788,13200.0,0.101267934,0.46
2660.0,-12.732241,132,0.20364238,0.8425785,0.65,0.10997218,13300.0,0.10128794,0.49
2680.0,-12.628096,133,0.20364739,0.842542,0.6,0.11003368,13400.0,0.10134462,0.5
2700.0,-14.462828,134,0.2036062,0.84259707,0.65,0.110047534,13500.0,0.1013122,0.54
2720.0,-10.534784,135,0.20358106,0.8425874,0.6,0.10999053,13600.0,0.10127079,0.57
2740.0,-10.195177,136,0.20355782,0.8425295,0.8,0.109967776,13700.0,0.10127196,0.48
2760.0,-13.1845,137,0.20357165,0.8425398,0.75,0.10988698,13800.0,0.101231456,0.55
2780.0,-6.523033,138,0.20357093,0.84252816,0.8,0.109842174,13900.0,0.10117235,0.49
2800.0,-3.5067983,139,0.20357636,0.84251094,0.9,0.10984728,14000.0,0.101101436,0.55
2820.0,-6.0535536,140,0.20360987,0.84250426,0.85,0.109850794,14100.0,0.10103246,0.52
2840.0,-10.160446,141,0.20357652,0.84251684,0.7,0.10974727,14200.0,0.100979686,0.45
2860.0,-16.106838,142,0.20357732,0.8425538,0.55,0.109685756,14300.0,0.10092161,0.44
2880.0,-14.687213,143,0.20358019,0.842562,0.55,0.10970757,14400.0,0.100898534,0.49
2900.0,-10.513951,144,0.20355299,0.8425761,0.75,0.10966942,14500.0,0.10088364,0.5
2920.0,-6.7647753,145,0.20356566,0.84255457,0.85,0.10976961,14600.0,0.10089358,0.5
2940.0,-15.972176,146,0.20359358,0.8425848,0.5,0.10969907,14700.0,0.10079405,0.58
2960.0,-13.4238,147,0.20361857,0.8426051,0.5,0.1098703,14800.0,0.10083684,0.51
2980.0,-11.715837,148,0.20359814,0.8426053,0.6,0.10995554,14900.0,0.10088003,0.5
3000.0,-7.9456315,149,0.20359099,0.8426089,0.85,0.10993372,15000.0,0.10084069,0.61
3020.0,-8.93741,150,0.20361142,0.8426377,0.75,0.109924994,15100.0,0.10082645,0.51
3040.0,-8.117403,151,0.20361167,0.8426442,0.8,0.109937936,15200.0,0.10076652,0.53
3060.0,-7.9637084,152,0.20358816,0.842653,0.8,0.1099348,15300.0,0.10070402,0.5
3080.0,-8.154876,153,0.20358482,0.8426576,0.6,0.10992892,15400.0,0.100661516,0.5
3100.0,-8.853077,154,0.20359086,0.84267026,0.7,0.10993375,15500.0,0.10062479,0.55
3120.0,-4.0291967,155,0.20356749,0.84266764,0.85,0.10985813,15600.0,0.100570194,0.53
3140.0,-10.51872,156,0.20357782,0.8426741,0.7,0.109786816,15700.0,0.10050196,0.5
3160.0,-5.5673776,157,0.20359041,0.8426929,0.8,0.10974544,15800.0,0.100497805,0.58
3180.0,-9.159771,158,0.20356226,0.8426632,0.65,0.109759495,15900.0,0.10047296,0.42
3200.0,-11.084578,159,0.20356673,0.84267116,0.5,0.109679125,16000.0,0.10043641,0.47
3220.0,-6.4863596,160,0.20358188,0.8426576,0.7,0.10960737,16100.0,0.10037141,0.52
3240.0,-2.3092234,161,0.20355947,0.8426328,0.9,0.109681904,16200.0,0.100346744,0.45
3260.0,-5.7285395,162,0.20355529,0.84263736,0.6,0.10975013,16300.0,0.100349344,0.53
3280.0,-4.5025177,163,0.20354985,0.8426242,0.85,0.10973739,16400.0,0.100331694,0.49
3300.0,-8.920792,164,0.20355457,0.842616,0.6,0.10975665,16500.0,0.10028895,0.56
3320.0,-3.3557503,165,0.20350516,0.8425865,0.85,0.10977319,16600.0,0.10027743,0.53
3340.0,-5.781892,166,0.2035091,0.842582,0.75,0.109877385,16700.0,0.1002777,0.47
3360.0,-5.205325,167,0.20351133,0.8426295,0.8,0.11001185,16800.0,0.10027599,0.55
3380.0,-2.5749478,168,0.2035094,0.8426354,0.9,0.11006916,16900.0,0.1002597,0.52
3400.0,-5.9133615,169,0.2035366,0.84259135,0.7,0.11013147,17000.0,0.10030958,0.48
3420.0,-7.841403,170,0.2035728,0.84259707,0.7,0.11015476,17100.0,0.100301005,0.48
3440.0,-3.8002229,171,0.20359245,0.84262276,0.8,0.110115185,17200.0,0.100257844,0.5
3460.0,-5.0059347,172,0.20357761,0.8426315,0.75,0.11011075,17300.0,0.10019994,0.56
3480.0,-2.0491455,173,0.20357923,0.84263974,0.85,0.11007102,17400.0,0.10019565,0.57
3500.0,-3.94642,174,0.20359562,0.842624,0.65,0.11014064,17500.0,0.100190036,0.51
3520.0,-2.6180425,175,0.20359038,0.8426175,0.9,0.11010573,17600.0,0.100245304,0.55
3540.0,-1.7674748,176,0.20357862,0.84263706,0.9,0.11004701,17700.0,0.100215375,0.58
3560.0,-1.8628019,177,0.20360233,0.842648,0.95,0.110060595,17800.0,0.100240625,0.54
3580.0,-2.4229598,178,0.20361193,0.8426864,0.85,0.11006791,17900.0,0.10022586,0.58
3600.0,-2.9568346,179,0.20361581,0.842742,0.85,0.11008672,18000.0,0.1002293,0.6
3620.0,-1.7921625,180,0.20364612,0.842773,0.85,0.1100372,18100.0,0.10023209,0.51
3640.0,-3.6045258,181,0.20369902,0.8428345,0.8,0.11003102,18200.0,0.100161076,0.57
3660.0,-1.3150853,182,0.20370159,0.84284925,0.9,0.110003985,18300.0,0.10016156,0.52
3680.0,-2.5290196,183,0.20372345,0.84287095,0.75,0.10997013,18400.0,0.100146554,0.57
3700.0,-2.8956208,184,0.20371981,0.8428311,0.75,0.109912865,18500.0,0.10012054,0.58
3720.0,-2.4175267,185,0.20371315,0.84284514,0.65,0.10989464,18600.0,0.10011228,0.54
3740.0,-2.327311,186,0.20371953,0.84288985,0.85,0.10993218,18700.0,0.100105524,0.49
3760.0,-2.440559,187,0.20370676,0.84289795,0.8,0.10987904,18800.0,0.10006505,0.64
3780.0,-2.0170877,188,0.2037169,0.8429413,0.8,0.10992536,18900.0,0.10005321,0.52
3800.0,-1.2155193,189,0.20371582,0.84299296,0.95,0.10995675,19000.0,0.100076675,0.5
3820.0,-2.7117813,190,0.20372434,0.8430333,0.65,0.109913,19100.0,0.10008656,0.59
3840.0,-1.3858702,191,0.20373727,0.8430856,0.95,0.109963715,19200.0,0.10019228,0.58
3860.0,-1.1375513,192,0.20376936,0.84312224,0.95,0.10991979,19300.0,0.100211106,0.53
3880.0,-2.091835,193,0.20380488,0.84315115,0.75,0.109876424,19400.0,0.10020956,0.54
3900.0,-1.5798682,194,0.20382896,0.84321666,0.75,0.10986578,19500.0,0.100206494,0.68
3920.0,-2.3068237,195,0.20385258,0.84325624,0.65,0.10984601,19600.0,0.10021924,0.63
3940.0,-1.1052115,196,0.20386341,0.84329313,1.0,0.10979784,19700.0,0.1001921,0.53
3960.0,-1.3086951,197,0.20387597,0.8433151,0.95,0.109781496,19800.0,0.10019367,0.55
3980.0,-1.9154003,198,0.20388459,0.84337354,0.7,0.10981734,19900.0,0.10017253,0.57
4000.0,-1.174441,199,0.20388842,0.8433933,1.0,0.109779984,20000.0,0.1001693,0.54
4020.0,-1.8192955,200,0.2039181,0.8434062,0.8,0.10979854,20100.0,0.100179575,0.52
4040.0,-1.8975157,201,0.20393771,0.84343714,0.8,0.109809086,20200.0,0.1001511,0.61
4060.0,-1.2171443,202,0.2039549,0.84348303,0.9,0.1097608,20300.0,0.100172736,0.55
4080.0,-1.1231563,203,0.20396328,0.84352463,0.9,0.10975273,20400.0,0.10018594,0.51
4100.0,-1.7652572,204,0.20396234,0.8435488,0.85,0.1097424,20500.0,0.10015738,0.55
4120.0,-2.028256,205,0.2039774,0.84357435,0.85,0.10973528,20600.0,0.1001657,0.56
4140.0,-1.4376876,206,0.20397957,0.84361273,0.9,0.10968082,20700.0,0.10013474,0.57
4160.0,-1.49826,207,0.20400377,0.8436454,0.95,0.109673746,20800.0,0.10009575,0.47
4180.0,-2.3038805,208,0.203996,0.8436906,0.85,0.10969314,20900.0,0.10008816,0.6
4200.0,-1.7253036,209,0.20401233,0.84371847,0.95,0.10967426,21000.0,0.10005913,0.52
4220.0,-2.0039134,210,0.20403793,0.8437142,0.85,0.109740466,21100.0,0.1000568,0.53
4240.0,-2.743489,211,0.20404632,0.843713,0.8,0.10979884,21200.0,0.10001802,0.49
4260.0,-2.5726674,212,0.20404269,0.8437173,0.85,0.10982912,21300.0,0.09999048,0.55
4280.0,-2.2351265,213,0.20405102,0.8437374,0.95,0.10987526,21400.0,0.09997036,0.57
4300.0,-2.22658,214,0.2040416,0.84376264,0.75,0.10991948,21500.0,0.09992781,0.62
4320.0,-2.5286088,215,0.20403455,0.84379005,0.8,0.109898746,21600.0,0.099947475,0.5
4340.0,-3.567968,216,0.20403615,0.8438463,0.85,0.10990599,21700.0,0.09993211,0.55
4360.0,-3.7026386,217,0.20403093,0.8438611,0.75,0.10988718,21800.0,0.099896125,0.63
4380.0,-2.675074,218,0.20405291,0.8438639,0.85,0.109915346,21900.0,0.09991497,0.6
4400.0,-1.7475227,219,0.20403546,0.84388256,0.9,0.109910004,22000.0,0.0999041,0.55
4420.0,-2.5468893,220,0.2040463,0.84391576,0.9,0.10992618,22100.0,0.09990875,0.49
4440.0,-2.0332294,221,0.20405777,0.8439181,0.95,0.10994039,22200.0,0.09988437,0.65
