test/success_rate,stats_o/std,stats_o/mean,test/episode,train/episode,epoch,train/success_rate,test/mean_Q,stats_g/mean,stats_g/std
0.3,0.10343535,0.20412092,1920.0,9600.0,95,0.26,-14.981936,0.8451684,0.10387204
0.4,0.10363132,0.20410225,1940.0,9700.0,96,0.16,-15.880908,0.8451662,0.10385701
0.25,0.10384855,0.20414099,1960.0,9800.0,97,0.2,-20.772373,0.84522915,0.10382864
0.2,0.104040354,0.20420237,1980.0,9900.0,98,0.22,-17.579622,0.8453481,0.10368035
0.2,0.1045833,0.2042787,2000.0,10000.0,99,0.22,-22.429483,0.8453455,0.10396693
0.4,0.10510553,0.20426667,2020.0,10100.0,100,0.34,-13.428368,0.845275,0.10406945
0.4,0.105328456,0.20426908,2040.0,10200.0,101,0.21,-20.662703,0.84530026,0.10406827
0.35,0.10563114,0.20427848,2060.0,10300.0,102,0.21,-20.438955,0.8453073,0.10414312
0.25,0.1058066,0.2042754,2080.0,10400.0,103,0.23,-17.25303,0.84531665,0.10419179
0.35,0.106157504,0.20427631,2100.0,10500.0,104,0.27,-15.802213,0.8453104,0.10415673
0.3,0.10625601,0.20426296,2120.0,10600.0,105,0.46,-22.247074,0.8452751,0.10414386
0.3,0.10647026,0.20428774,2140.0,10700.0,106,0.3,-18.936777,0.8452466,0.10416039
0.35,0.1067647,0.20432323,2160.0,10800.0,107,0.27,-17.260675,0.84526247,0.10437509
0.25,0.10700484,0.20430136,2180.0,10900.0,108,0.39,-22.862247,0.84524745,0.1042935
0.5,0.10719443,0.20429012,2200.0,11000.0,109,0.37,-19.277477,0.8452688,0.10427754
0.45,0.107479274,0.2042512,2220.0,11100.0,110,0.36,-15.7628145,0.84519696,0.10436938
0.3,0.10777777,0.20427886,2240.0,11200.0,111,0.28,-21.593964,0.8452251,0.10440708
0.35,0.10801683,0.20425597,2260.0,11300.0,112,0.31,-16.866877,0.8453007,0.10446825
0.5,0.1085013,0.20422202,2280.0,11400.0,113,0.3,-17.960766,0.8453122,0.10458195
0.2,0.10896462,0.20421061,2300.0,11500.0,114,0.34,-23.695765,0.8452851,0.104777984
0.4,0.109183304,0.20423637,2320.0,11600.0,115,0.43,-17.710585,0.8453371,0.10471343
0.4,0.109522894,0.20419896,2340.0,11700.0,116,0.37,-18.678667,0.8452811,0.10484255
0.4,0.109950885,0.2041451,2360.0,11800.0,117,0.38,-16.772154,0.8452826,0.10499828
0.55,0.110461004,0.20414592,2380.0,11900.0,118,0.3,-17.556831,0.8452516,0.10519099
0.4,0.11072581,0.20411691,2400.0,12000.0,119,0.37,-14.129657,0.8451614,0.10531897
0.45,0.11107551,0.20406301,2420.0,12100.0,120,0.34,-13.80511,0.8451166,0.10533416
0.6,0.11136216,0.20406328,2440.0,12200.0,121,0.33,-10.833747,0.8451542,0.10526351
0.7,0.111569464,0.20405613,2460.0,12300.0,122,0.33,-10.530638,0.84514815,0.10527098
0.6,0.11180608,0.20408174,2480.0,12400.0,123,0.36,-11.550541,0.84519297,0.10525199
0.45,0.11197158,0.20406836,2500.0,12500.0,124,0.29,-17.914997,0.8451762,0.105431356
0.3,0.112033874,0.20408528,2520.0,12600.0,125,0.36,-18.792313,0.84516066,0.10544544
0.45,0.11246235,0.20408602,2540.0,12700.0,126,0.29,-15.107323,0.8451371,0.10560388
0.55,0.1127159,0.2041362,2560.0,12800.0,127,0.39,-14.1066265,0.8451512,0.10562325
0.45,0.11290195,0.20414092,2580.0,12900.0,128,0.35,-17.701694,0.84509367,0.10561773
0.5,0.11315573,0.20415853,2600.0,13000.0,129,0.4,-16.026026,0.84506965,0.105708696
0.6,0.11330159,0.20413324,2620.0,13100.0,130,0.33,-14.349887,0.8450162,0.10578146
0.55,0.11342072,0.20414141,2640.0,13200.0,131,0.41,-11.973101,0.84498495,0.10580466
0.55,0.113525316,0.20415781,2660.0,13300.0,132,0.4,-14.792033,0.84499353,0.105835535
0.35,0.11365697,0.20417127,2680.0,13400.0,133,0.33,-18.295664,0.8449784,0.10574752
0.45,0.11373233,0.20423324,2700.0,13500.0,134,0.43,-19.829342,0.8450465,0.10565809
0.45,0.113898925,0.20426115,2720.0,13600.0,135,0.4,-15.123962,0.845033,0.105598025
0.5,0.1140918,0.20426825,2740.0,13700.0,136,0.4,-14.663315,0.8450237,0.10552815
0.35,0.114238575,0.20429915,2760.0,13800.0,137,0.44,-19.789686,0.8450339,0.10546375
0.75,0.114403225,0.2043235,2780.0,13900.0,138,0.44,-8.11046,0.845027,0.10540807
0.8,0.11458723,0.20431006,2800.0,14000.0,139,0.38,-5.790195,0.84500307,0.105398536
0.65,0.114913575,0.20432082,2820.0,14100.0,140,0.48,-10.049721,0.84502774,0.105333276
0.6,0.11517869,0.20431475,2840.0,14200.0,141,0.44,-11.034788,0.8450051,0.10531387
0.3,0.115371615,0.20426728,2860.0,14300.0,142,0.35,-17.67992,0.8450179,0.105226494
0.5,0.11552964,0.2042895,2880.0,14400.0,143,0.37,-14.915972,0.8450587,0.10524988
0.6,0.11561592,0.20431085,2900.0,14500.0,144,0.46,-10.653448,0.8451202,0.10528928
0.7,0.11581373,0.20430192,2920.0,14600.0,145,0.44,-10.94517,0.84513944,0.10525739
0.45,0.11592879,0.20430014,2940.0,14700.0,146,0.52,-17.511179,0.84515375,0.10517218
0.35,0.115952075,0.20430818,2960.0,14800.0,147,0.4,-21.134872,0.84520525,0.105097264
0.45,0.11608024,0.20431536,2980.0,14900.0,148,0.4,-16.906834,0.8452417,0.105068065
0.5,0.11629088,0.20431697,3000.0,15000.0,149,0.44,-16.623116,0.8452363,0.105057456
0.6,0.11636148,0.20433366,3020.0,15100.0,150,0.4,-15.762629,0.8452613,0.105156064
0.55,0.11644682,0.20432746,3040.0,15200.0,151,0.44,-14.8267565,0.8452652,0.105114706
0.75,0.1165255,0.20428194,3060.0,15300.0,152,0.39,-10.7633505,0.84526324,0.105051346
0.5,0.11659269,0.20429307,3080.0,15400.0,153,0.4,-17.812922,0.8452559,0.105121285
0.55,0.11670399,0.20426524,3100.0,15500.0,154,0.47,-14.444626,0.845242,0.10507063
0.75,0.11677708,0.20428944,3120.0,15600.0,155,0.44,-11.379703,0.84524083,0.105057485
0.7,0.11687727,0.20431662,3140.0,15700.0,156,0.42,-12.344294,0.84526366,0.10505355
0.7,0.11695077,0.20428553,3160.0,15800.0,157,0.46,-11.92188,0.84523934,0.10504681
0.6,0.117130585,0.20432436,3180.0,15900.0,158,0.25,-14.686566,0.8452284,0.10504386
0.4,0.1172182,0.20431428,3200.0,16000.0,159,0.45,-22.69316,0.8452317,0.105092436
0.45,0.11727729,0.20430653,3220.0,16100.0,160,0.47,-17.11044,0.8452079,0.105070055
0.7,0.11730207,0.20430048,3240.0,16200.0,161,0.41,-9.814594,0.8451805,0.10502917
0.45,0.117464535,0.20433187,3260.0,16300.0,162,0.47,-17.992361,0.84518796,0.10501567
0.85,0.11751276,0.20432931,3280.0,16400.0,163,0.49,-8.363057,0.84517163,0.10497522
0.4,0.11750718,0.20432402,3300.0,16500.0,164,0.52,-22.550686,0.84514284,0.1048964
0.6,0.117508605,0.20433192,3320.0,16600.0,165,0.54,-12.440336,0.84513307,0.10485976
0.55,0.11750791,0.20434082,3340.0,16700.0,166,0.42,-17.739178,0.8451407,0.104836725
0.45,0.11767234,0.20436499,3360.0,16800.0,167,0.38,-19.269115,0.8451853,0.10483959
0.85,0.117744245,0.20437077,3380.0,16900.0,168,0.49,-7.2443514,0.8451817,0.10485238
0.55,0.11781645,0.20439324,3400.0,17000.0,169,0.47,-16.826607,0.8451426,0.1049341
0.45,0.11792972,0.20440477,3420.0,17100.0,170,0.36,-21.93516,0.8451434,0.10497854
0.65,0.11800857,0.2044405,3440.0,17200.0,171,0.42,-14.299158,0.845114,0.10502116
0.45,0.11803882,0.20445818,3460.0,17300.0,172,0.45,-20.63348,0.84510916,0.10504932
0.85,0.11799316,0.20447133,3480.0,17400.0,173,0.46,-8.766205,0.84509593,0.10505416
0.5,0.117999725,0.20447756,3500.0,17500.0,174,0.5,-17.726845,0.8450556,0.10513234
0.7,0.11807847,0.20445429,3520.0,17600.0,175,0.44,-10.111583,0.84502894,0.10517334
0.7,0.11811621,0.20449704,3540.0,17700.0,176,0.43,-14.288524,0.8450346,0.105189025
0.7,0.11808209,0.20453086,3560.0,17800.0,177,0.45,-12.116377,0.84504676,0.10516274
0.65,0.118143246,0.20455156,3580.0,17900.0,178,0.48,-15.798111,0.8450598,0.10514077
0.55,0.11815191,0.20456512,3600.0,18000.0,179,0.58,-16.59795,0.8450907,0.10510949
0.75,0.118281275,0.20456743,3620.0,18100.0,180,0.45,-10.186792,0.84511256,0.10517148
0.55,0.11828585,0.20460445,3640.0,18200.0,181,0.48,-15.967667,0.8451309,0.10528255
0.6,0.118377015,0.20456517,3660.0,18300.0,182,0.49,-12.598651,0.84508175,0.10542046
0.6,0.11838427,0.20454624,3680.0,18400.0,183,0.55,-13.543312,0.8450784,0.1054487
0.6,0.11843218,0.20454374,3700.0,18500.0,184,0.45,-15.875265,0.8450463,0.10544941
0.5,0.118480675,0.20455007,3720.0,18600.0,185,0.45,-15.472882,0.84503835,0.10553324
0.75,0.11842891,0.20454475,3740.0,18700.0,186,0.53,-9.801559,0.8450435,0.1055155
0.7,0.11853675,0.20457663,3760.0,18800.0,187,0.55,-13.3893585,0.84501153,0.10557423
0.55,0.11860994,0.20460346,3780.0,18900.0,188,0.46,-17.659985,0.8450368,0.10564524
0.65,0.11869414,0.20462812,3800.0,19000.0,189,0.4,-9.559074,0.8449917,0.105799936
0.5,0.11870984,0.2046217,3820.0,19100.0,190,0.56,-16.13401,0.84497815,0.10585198
0.65,0.11869111,0.20463562,3840.0,19200.0,191,0.53,-7.0961137,0.8449978,0.10583079
0.65,0.118782,0.20462231,3860.0,19300.0,192,0.49,-8.07923,0.845046,0.105864346
0.65,0.118826024,0.2046417,3880.0,19400.0,193,0.45,-15.079242,0.8450296,0.105910085
0.7,0.118886806,0.2046656,3900.0,19500.0,194,0.5,-11.379053,0.8450644,0.106021464
