train/success_rate,stats_o/std,stats_o/mean,stats_g/std,test/mean_Q,test/success_rate,test/episode,epoch,stats_g/mean,train/episode
0.44,0.11087546,0.20480175,0.09586874,-18.667744,0.35,2040.0,101,0.8438181,10200.0
0.43,0.1111953,0.20483325,0.095873244,-19.165653,0.4,2060.0,102,0.84379506,10300.0
0.39,0.1113378,0.20487238,0.09584332,-15.944246,0.55,2080.0,103,0.8438215,10400.0
0.49,0.11145033,0.20488608,0.09581321,-12.93244,0.7,2100.0,104,0.8437969,10500.0
0.48,0.11158817,0.20488521,0.095735766,-22.761127,0.3,2120.0,105,0.84375817,10600.0
0.41,0.111659765,0.20488942,0.095771156,-15.929164,0.6,2140.0,106,0.84372586,10700.0
0.35,0.11182551,0.20491894,0.0957433,-18.49976,0.5,2160.0,107,0.84374267,10800.0
0.55,0.11187658,0.20494495,0.09569327,-22.507822,0.4,2180.0,108,0.84375453,10900.0
0.48,0.111975476,0.20491627,0.09563821,-16.972672,0.55,2200.0,109,0.8437645,11000.0
0.47,0.11220524,0.2049354,0.095567994,-14.609866,0.55,2220.0,110,0.8437721,11100.0
0.42,0.11243909,0.20495252,0.09555029,-18.025127,0.45,2240.0,111,0.8437492,11200.0
0.48,0.11272916,0.20498772,0.09554845,-13.059802,0.6,2260.0,112,0.84375554,11300.0
0.43,0.1129196,0.20501526,0.09549725,-16.609255,0.55,2280.0,113,0.84376556,11400.0
0.41,0.11305591,0.20496936,0.09551529,-21.366043,0.35,2300.0,114,0.84368896,11500.0
0.49,0.11315125,0.20500839,0.09543475,-17.434652,0.5,2320.0,115,0.84372807,11600.0
0.5,0.11313228,0.20498227,0.09536999,-18.176273,0.5,2340.0,116,0.8436875,11700.0
0.5,0.113084,0.20497924,0.09528506,-17.308582,0.5,2360.0,117,0.8437304,11800.0
0.45,0.113171965,0.2049993,0.09521705,-15.7895565,0.6,2380.0,118,0.8437837,11900.0
0.47,0.11320261,0.20500235,0.09514815,-12.381133,0.65,2400.0,119,0.84380627,12000.0
0.39,0.11320482,0.20500225,0.09512622,-14.462889,0.65,2420.0,120,0.84379625,12100.0
0.37,0.11321068,0.2049871,0.09515673,-6.8350554,0.8,2440.0,121,0.8438299,12200.0
0.46,0.11324092,0.20499949,0.095138125,-9.3348055,0.75,2460.0,122,0.8438625,12300.0
0.48,0.113284566,0.20494236,0.09511236,-8.988298,0.75,2480.0,123,0.8439164,12400.0
0.45,0.11332158,0.20494026,0.09507751,-17.964594,0.5,2500.0,124,0.8439302,12500.0
0.48,0.11337376,0.20491497,0.095046915,-17.237026,0.5,2520.0,125,0.8439458,12600.0
0.4,0.11336296,0.2049417,0.09503206,-14.736545,0.65,2540.0,126,0.8439706,12700.0
0.39,0.11346576,0.20497145,0.09503224,-12.492472,0.65,2560.0,127,0.8439765,12800.0
0.47,0.11351398,0.20501485,0.09503588,-17.200508,0.5,2580.0,128,0.8439358,12900.0
0.53,0.1135102,0.20501459,0.09509638,-12.832268,0.6,2600.0,129,0.8439229,13000.0
0.54,0.1136055,0.20503864,0.09501054,-13.384371,0.6,2620.0,130,0.84387946,13100.0
0.49,0.113648675,0.20502715,0.09501833,-10.804007,0.65,2640.0,131,0.8438352,13200.0
0.5,0.11372082,0.2050514,0.09497448,-14.549556,0.65,2660.0,132,0.8438633,13300.0
0.49,0.11372535,0.20507328,0.09490001,-16.573563,0.6,2680.0,133,0.84388334,13400.0
0.48,0.1136723,0.20505361,0.09485116,-18.243492,0.6,2700.0,134,0.843962,13500.0
0.52,0.11373686,0.20504418,0.094852485,-15.866613,0.55,2720.0,135,0.84393364,13600.0
0.5,0.11383857,0.20503803,0.09483848,-13.0099745,0.65,2740.0,136,0.84389234,13700.0
0.54,0.11396182,0.20506984,0.09483388,-20.229107,0.4,2760.0,137,0.84389925,13800.0
0.47,0.11402215,0.20507604,0.094869316,-7.8008676,0.8,2780.0,138,0.8438921,13900.0
0.51,0.114094496,0.2051171,0.09484301,-5.344653,0.85,2800.0,139,0.8438542,14000.0
0.54,0.114191286,0.20516083,0.0947966,-7.87391,0.75,2820.0,140,0.8438532,14100.0
0.47,0.11429691,0.20516191,0.09481644,-10.876786,0.65,2840.0,141,0.8438568,14200.0
0.48,0.114330426,0.20519716,0.09477649,-19.352274,0.35,2860.0,142,0.8438893,14300.0
0.46,0.11436286,0.20518194,0.09480888,-16.409075,0.55,2880.0,143,0.84387636,14400.0
0.48,0.114512466,0.20517096,0.09496226,-10.364445,0.7,2900.0,144,0.8438609,14500.0
0.56,0.11450886,0.20518772,0.09495169,-9.785166,0.65,2920.0,145,0.8438721,14600.0
0.61,0.11458481,0.20517683,0.09488899,-19.017645,0.5,2940.0,146,0.84389186,14700.0
0.48,0.11459052,0.20517766,0.094858624,-18.26854,0.55,2960.0,147,0.843939,14800.0
0.5,0.11460601,0.2051963,0.09492564,-14.620585,0.6,2980.0,148,0.8439694,14900.0
0.57,0.114594765,0.20519017,0.094892986,-13.001846,0.6,3000.0,149,0.8439765,15000.0
0.44,0.114577405,0.20518959,0.09494688,-10.1182995,0.65,3020.0,150,0.8440075,15100.0
0.52,0.11465077,0.20518686,0.09494061,-8.63912,0.65,3040.0,151,0.84403735,15200.0
0.41,0.11491646,0.20516817,0.094999515,-8.379268,0.8,3060.0,152,0.8440263,15300.0
0.47,0.11496923,0.20517129,0.094968855,-13.91658,0.55,3080.0,153,0.844032,15400.0
0.54,0.11501946,0.205161,0.0949623,-10.602716,0.6,3100.0,154,0.84403133,15500.0
0.5,0.11511907,0.20514284,0.094955385,-7.3345017,0.75,3120.0,155,0.8440388,15600.0
0.49,0.11507173,0.20515999,0.09491631,-9.865931,0.7,3140.0,156,0.8440563,15700.0
0.56,0.11511388,0.20512855,0.09488833,-7.6185126,0.75,3160.0,157,0.844079,15800.0
0.43,0.1152034,0.20512213,0.09486266,-11.541906,0.65,3180.0,158,0.84406644,15900.0
0.48,0.115229264,0.20514129,0.09485641,-18.133125,0.4,3200.0,159,0.8440872,16000.0
0.51,0.11517915,0.20518164,0.094818145,-11.917533,0.6,3220.0,160,0.84406966,16100.0
0.43,0.11522831,0.20520498,0.094821386,-5.8577704,0.85,3240.0,161,0.84405994,16200.0
0.5,0.11516442,0.20521852,0.094783194,-12.664602,0.6,3260.0,162,0.8440762,16300.0
0.47,0.11513925,0.20523523,0.094816536,-6.5331016,0.85,3280.0,163,0.84409326,16400.0
0.53,0.11508659,0.20523986,0.094780914,-17.01118,0.35,3300.0,164,0.84408283,16500.0
0.57,0.11507149,0.20521198,0.09479875,-6.5801573,0.8,3320.0,165,0.8440609,16600.0
0.5,0.11499419,0.20522463,0.094779134,-11.516687,0.6,3340.0,166,0.8440737,16700.0
0.5,0.11500991,0.20523123,0.094753884,-12.796797,0.55,3360.0,167,0.8441345,16800.0
0.52,0.11498557,0.20520625,0.094743244,-4.091254,0.9,3380.0,168,0.8441544,16900.0
0.5,0.11502613,0.20516548,0.09478078,-13.508211,0.65,3400.0,169,0.84414715,17000.0
0.42,0.11497572,0.20516881,0.094770424,-15.746695,0.5,3420.0,170,0.84416085,17100.0
0.47,0.11498665,0.20520389,0.09476429,-10.123719,0.75,3440.0,171,0.84418344,17200.0
0.52,0.11501596,0.20520395,0.09474396,-12.919591,0.45,3460.0,172,0.8442057,17300.0
0.5,0.11508785,0.20522623,0.094770074,-4.8658733,0.85,3480.0,173,0.8442128,17400.0
0.52,0.11519609,0.20521162,0.09479799,-9.517428,0.65,3500.0,174,0.8441935,17500.0
0.48,0.11524268,0.2052354,0.094812155,-5.84322,0.8,3520.0,175,0.84421235,17600.0
0.47,0.11526718,0.20524868,0.094823055,-6.5501046,0.75,3540.0,176,0.84423655,17700.0
0.47,0.1154154,0.20524828,0.09484899,-6.124673,0.75,3560.0,177,0.84424305,17800.0
0.5,0.115442626,0.20524728,0.094821274,-9.546416,0.65,3580.0,178,0.8442523,17900.0
0.56,0.11548404,0.2052455,0.09486588,-11.896988,0.45,3600.0,179,0.84428716,18000.0
0.48,0.11557706,0.20523182,0.09496733,-5.92558,0.75,3620.0,180,0.8442967,18100.0
0.51,0.11562052,0.20523494,0.09497205,-10.832919,0.65,3640.0,181,0.8443437,18200.0
0.53,0.11556645,0.20521502,0.094958,-7.622428,0.75,3660.0,182,0.84434,18300.0
0.59,0.11553559,0.20519803,0.094938345,-9.4928055,0.75,3680.0,183,0.8443511,18400.0
0.56,0.115563266,0.205149,0.09496508,-10.277339,0.55,3700.0,184,0.84429854,18500.0
0.46,0.11557831,0.20509918,0.09493753,-9.749979,0.6,3720.0,185,0.8443036,18600.0
0.48,0.11558431,0.20510209,0.09498482,-6.895533,0.8,3740.0,186,0.8443179,18700.0
0.56,0.11559094,0.20509459,0.094997846,-9.247173,0.65,3760.0,187,0.8442948,18800.0
0.52,0.11563853,0.20506568,0.09507883,-11.058645,0.6,3780.0,188,0.8443088,18900.0
0.46,0.115640305,0.20502514,0.095108,-5.3700266,0.85,3800.0,189,0.8443262,19000.0
0.56,0.11558234,0.2050249,0.095138095,-11.473131,0.7,3820.0,190,0.8443273,19100.0
0.56,0.11561204,0.20503296,0.095162414,-4.334224,0.95,3840.0,191,0.8443449,19200.0
0.57,0.11555448,0.20501156,0.095182724,-4.1770496,0.8,3860.0,192,0.844337,19300.0
0.49,0.115542315,0.20500585,0.095231354,-10.02524,0.65,3880.0,193,0.84431034,19400.0
0.61,0.11555236,0.20499155,0.095215134,-6.7386045,0.85,3900.0,194,0.8443544,19500.0
0.59,0.115570456,0.20498931,0.095287345,-10.09642,0.65,3920.0,195,0.8443763,19600.0
0.52,0.11557999,0.20499581,0.09529021,-4.81374,0.75,3940.0,196,0.8443784,19700.0
0.51,0.11558895,0.20499697,0.09531089,-3.9360707,0.85,3960.0,197,0.8443846,19800.0
0.62,0.115606695,0.20498785,0.095316894,-12.338143,0.55,3980.0,198,0.84440094,19900.0
0.52,0.11556426,0.2049634,0.09529712,-5.807972,0.75,4000.0,199,0.84437364,20000.0
0.55,0.11555848,0.20494789,0.09528843,-8.6006365,0.75,4020.0,200,0.84435123,20100.0
0.66,0.11560989,0.20496182,0.09530184,-7.075494,0.8,4040.0,201,0.84435743,20200.0
0.49,0.11559323,0.20496994,0.095339976,-3.7590363,0.9,4060.0,202,0.84439284,20300.0
0.54,0.11557086,0.20496091,0.09540427,-3.0661507,0.85,4080.0,203,0.84441656,20400.0
0.54,0.11554644,0.20496574,0.09548861,-5.841133,0.75,4100.0,204,0.8444031,20500.0
0.55,0.11549862,0.20496541,0.09551278,-6.7073464,0.85,4120.0,205,0.8443964,20600.0
0.57,0.115492076,0.20496677,0.09553629,-3.3985748,0.9,4140.0,206,0.84440774,20700.0
0.45,0.115525246,0.20497157,0.09558334,-4.934621,0.75,4160.0,207,0.84439534,20800.0
0.54,0.1155261,0.2049539,0.095729254,-9.29711,0.7,4180.0,208,0.8443989,20900.0
0.46,0.11549738,0.20494631,0.095734954,-5.519149,0.75,4200.0,209,0.84441406,21000.0
0.49,0.11550596,0.20495085,0.09576404,-6.5784287,0.8,4220.0,210,0.8444042,21100.0
0.52,0.11552715,0.20496593,0.09578329,-6.934301,0.8,4240.0,211,0.8444061,21200.0
0.64,0.11549678,0.20496364,0.09575964,-7.657396,0.65,4260.0,212,0.844405,21300.0
0.54,0.115449846,0.20496732,0.0957579,-6.189046,0.8,4280.0,213,0.8444147,21400.0
0.62,0.115435034,0.2049714,0.095754564,-6.1319947,0.75,4300.0,214,0.8444345,21500.0
0.52,0.11549275,0.20499296,0.09582766,-7.9940977,0.75,4320.0,215,0.84443253,21600.0
0.55,0.115517765,0.20498985,0.09586218,-4.5553007,0.95,4340.0,216,0.8444739,21700.0
0.63,0.115510456,0.20497581,0.09586201,-10.141272,0.6,4360.0,217,0.8444593,21800.0
0.61,0.115463115,0.20497505,0.09585463,-6.882949,0.85,4380.0,218,0.8444397,21900.0
0.59,0.115444995,0.20499554,0.09587446,-4.114104,0.9,4400.0,219,0.84443736,22000.0
0.52,0.11545896,0.205009,0.09595477,-6.4521627,0.8,4420.0,220,0.844466,22100.0
0.65,0.1153995,0.20502225,0.09597135,-4.6081176,0.9,4440.0,221,0.84446126,22200.0
0.58,0.11540579,0.20501783,0.09598052,-9.458144,0.7,4460.0,222,0.84449935,22300.0
0.61,0.115401246,0.20501527,0.096014045,-5.2306623,0.75,4480.0,223,0.8445246,22400.0
0.54,0.11537857,0.2050141,0.09602486,-8.340971,0.75,4500.0,224,0.8445069,22500.0
0.49,0.115372084,0.20501289,0.096072875,-3.8171635,0.85,4520.0,225,0.8445008,22600.0
0.61,0.11535321,0.20502181,0.09612364,-9.587903,0.8,4540.0,226,0.8445241,22700.0
0.52,0.11536882,0.20501183,0.096149154,-9.264311,0.75,4560.0,227,0.84453624,22800.0
0.56,0.11534882,0.20501323,0.096146725,-5.6246667,0.8,4580.0,228,0.84456724,22900.0
0.56,0.11530012,0.20501892,0.09614206,-3.3669288,0.9,4600.0,229,0.8446035,23000.0
0.58,0.11527587,0.20503657,0.09613907,-3.425695,0.9,4620.0,230,0.84460014,23100.0
0.58,0.115389995,0.20505767,0.09621509,-4.763755,0.85,4640.0,231,0.84461004,23200.0
0.62,0.11535222,0.20505835,0.09622566,-6.3679976,0.8,4660.0,232,0.84464043,23300.0
0.5,0.11534416,0.20507956,0.09624689,-7.001982,0.7,4680.0,233,0.8447003,23400.0
0.56,0.115330085,0.2051081,0.096302114,-5.6822767,0.75,4700.0,234,0.8447132,23500.0
0.54,0.11536537,0.2051173,0.096320964,-3.8080597,0.85,4720.0,235,0.84473115,23600.0
0.59,0.11542807,0.20514019,0.096322484,-1.8157761,0.85,4740.0,236,0.84476763,23700.0
0.58,0.115423776,0.205149,0.09637477,-7.4225564,0.8,4760.0,237,0.8447857,23800.0
0.56,0.11545301,0.205181,0.096376635,-10.21301,0.65,4780.0,238,0.84478325,23900.0
0.62,0.11541451,0.2051653,0.09636429,-8.564711,0.7,4800.0,239,0.84478474,24000.0
0.6,0.11538876,0.20519944,0.096342586,-5.257142,0.85,4820.0,240,0.8447916,24100.0
0.61,0.11539469,0.20520082,0.09635032,-1.4220146,1.0,4840.0,241,0.84481525,24200.0
0.59,0.11536834,0.20518284,0.0963558,-4.9837136,0.85,4860.0,242,0.8448116,24300.0
0.69,0.11536224,0.20517002,0.09633943,-10.202835,0.65,4880.0,243,0.84481317,24400.0
0.63,0.115318626,0.2051457,0.09635052,-6.423443,0.8,4900.0,244,0.84482104,24500.0
0.6,0.11533386,0.20518628,0.09637156,-5.930067,0.85,4920.0,245,0.84486246,24600.0
0.47,0.11537702,0.20520307,0.09641186,-4.6621313,0.85,4940.0,246,0.8448927,24700.0
0.53,0.11532242,0.20521756,0.09638081,-7.405374,0.7,4960.0,247,0.8449369,24800.0
0.57,0.11528392,0.20522535,0.09638674,-4.896449,0.7,4980.0,248,0.8449339,24900.0
0.58,0.115276374,0.20525967,0.09642444,-4.1617384,0.85,5000.0,249,0.8449394,25000.0
0.63,0.11526747,0.20523079,0.096428506,-0.7717514,1.0,5020.0,250,0.84496003,25100.0
0.49,0.11524809,0.20524386,0.09645307,-7.5446496,0.7,5040.0,251,0.8449853,25200.0
0.54,0.11527934,0.20524797,0.09646904,-3.661181,0.85,5060.0,252,0.8449924,25300.0
0.54,0.11525686,0.20526333,0.09646186,-7.7742796,0.65,5080.0,253,0.8450133,25400.0
0.66,0.11523309,0.20527351,0.096422516,-4.552927,0.85,5100.0,254,0.84502524,25500.0
0.53,0.115230836,0.2052542,0.09646397,-5.2960253,0.75,5120.0,255,0.84506583,25600.0
0.53,0.115215465,0.205259,0.096482895,-5.155284,0.8,5140.0,256,0.8450937,25700.0
0.55,0.11519381,0.20526834,0.09648181,-2.729825,0.9,5160.0,257,0.84511065,25800.0
0.56,0.11518546,0.20529084,0.09648079,-5.2948675,0.8,5180.0,258,0.84512013,25900.0
0.65,0.1152202,0.2052685,0.09646543,-4.241115,0.85,5200.0,259,0.84510344,26000.0
0.62,0.11521234,0.2052934,0.09645811,-5.369189,0.75,5220.0,260,0.8451188,26100.0
0.58,0.11517416,0.20529377,0.096446626,-3.701989,0.85,5240.0,261,0.84514475,26200.0
0.62,0.11515251,0.20529684,0.09642159,-5.2497716,0.8,5260.0,262,0.84514046,26300.0
0.58,0.11516715,0.20531851,0.09643253,-7.136419,0.7,5280.0,263,0.84516644,26400.0
0.56,0.115166575,0.20534354,0.09646821,-2.3054707,0.95,5300.0,264,0.845167,26500.0
0.61,0.11515104,0.20534563,0.09649166,-0.8657161,1.0,5320.0,265,0.845197,26600.0
0.58,0.11515503,0.20536721,0.096515,-5.005019,0.9,5340.0,266,0.84520656,26700.0
0.53,0.11511306,0.2053937,0.09649231,-5.2885027,0.85,5360.0,267,0.8452394,26800.0
0.51,0.11507835,0.20541696,0.09649342,-4.444764,0.85,5380.0,268,0.8452442,26900.0
0.51,0.11504385,0.20544533,0.09650747,-3.5109513,0.85,5400.0,269,0.8452682,27000.0
0.54,0.11500165,0.20546626,0.09652718,-1.6740408,0.85,5420.0,270,0.8453211,27100.0
0.63,0.11499286,0.20547491,0.0965147,-5.8351526,0.9,5440.0,271,0.8453465,27200.0
0.54,0.11499044,0.20550224,0.09654661,-4.619624,0.85,5460.0,272,0.8453734,27300.0
0.67,0.11498577,0.20550647,0.09653181,-3.8431034,0.9,5480.0,273,0.8453677,27400.0
0.54,0.11493311,0.20552701,0.09653232,-4.4739404,0.9,5500.0,274,0.8453727,27500.0
0.61,0.11490533,0.20552962,0.09654716,-4.8408546,0.8,5520.0,275,0.8453868,27600.0
