test/success_rate,train/episode,stats_o/mean,stats_g/std,test/mean_Q,stats_g/mean,test/episode,epoch,train/success_rate,stats_o/std
0.45,9300.0,0.19208747,0.1636859,-14.318853,0.8118058,1860.0,92,0.09,0.09046439
0.45,9400.0,0.19215606,0.16370986,-15.061427,0.8120547,1880.0,93,0.14,0.09045907
0.45,9500.0,0.19218874,0.16361757,-15.305841,0.8122428,1900.0,94,0.19,0.09044426
0.3,9600.0,0.19221333,0.16360076,-17.795572,0.81226045,1920.0,95,0.12,0.09040311
0.6,9700.0,0.19226716,0.16351743,-10.415367,0.8123537,1940.0,96,0.18,0.090434454
0.7,9800.0,0.19227578,0.16332646,-10.948549,0.81238055,1960.0,97,0.17,0.090338014
0.55,9900.0,0.19226919,0.16308996,-15.436232,0.81249666,1980.0,98,0.15,0.090222634
0.6,10000.0,0.19233806,0.16307579,-12.941098,0.8126866,2000.0,99,0.08,0.090291984
0.3,10100.0,0.19238468,0.16297176,-19.341244,0.8126726,2020.0,100,0.18,0.09024188
0.45,10200.0,0.19243017,0.16300881,-15.30197,0.81277347,2040.0,101,0.22,0.090260096
0.6,10300.0,0.19246224,0.16307163,-14.984289,0.81282187,2060.0,102,0.21,0.09057079
0.15,10400.0,0.19250667,0.16287363,-16.46524,0.8129862,2080.0,103,0.07,0.09054535
0.6,10500.0,0.19248044,0.16285527,-12.991531,0.8130174,2100.0,104,0.15,0.09061002
0.15,10600.0,0.19252594,0.16276245,-17.764835,0.813116,2120.0,105,0.25,0.090549536
0.3,10700.0,0.1925533,0.16266511,-17.873362,0.81331354,2140.0,106,0.2,0.0904753
0.35,10800.0,0.19257377,0.1626671,-15.309921,0.8134644,2160.0,107,0.19,0.09045332
0.4,10900.0,0.19258596,0.16264723,-12.429712,0.8137014,2180.0,108,0.18,0.09052802
0.4,11000.0,0.19254474,0.16260739,-10.76751,0.81381416,2200.0,109,0.13,0.090530306
0.5,11100.0,0.19252047,0.16245796,-16.13916,0.81385916,2220.0,110,0.18,0.090571605
0.3,11200.0,0.1925579,0.16257547,-16.494886,0.8140848,2240.0,111,0.18,0.09072768
0.3,11300.0,0.19256276,0.16270599,-12.782631,0.814148,2260.0,112,0.21,0.09091954
0.5,11400.0,0.19251211,0.16264296,-15.209562,0.8141153,2280.0,113,0.19,0.091032274
0.6,11500.0,0.19258511,0.16266795,-11.95814,0.81417865,2300.0,114,0.11,0.091076955
0.4,11600.0,0.19261591,0.1625953,-13.034673,0.8142977,2320.0,115,0.16,0.091113254
0.6,11700.0,0.19264834,0.16248246,-11.21228,0.8143242,2340.0,116,0.16,0.091295935
0.4,11800.0,0.19264993,0.16254579,-16.679861,0.8143236,2360.0,117,0.12,0.091400884
0.45,11900.0,0.1926797,0.16254108,-15.792376,0.8143733,2380.0,118,0.16,0.09148265
0.5,12000.0,0.19268644,0.16270943,-12.623395,0.814472,2400.0,119,0.22,0.091634914
0.7,12100.0,0.1926951,0.16280659,-11.075241,0.81458265,2420.0,120,0.14,0.09177713
0.55,12200.0,0.19272114,0.16268812,-9.891397,0.8147822,2440.0,121,0.2,0.09181867
0.7,12300.0,0.19273083,0.16248469,-11.709243,0.8149464,2460.0,122,0.16,0.09178382
0.35,12400.0,0.19274741,0.16244628,-15.623982,0.8151253,2480.0,123,0.16,0.091866225
0.4,12500.0,0.19279628,0.16229272,-14.468027,0.8153855,2500.0,124,0.17,0.09186517
0.35,12600.0,0.19281775,0.16244785,-15.911532,0.8154066,2520.0,125,0.1,0.091904685
0.4,12700.0,0.1928282,0.1622717,-13.072911,0.81553507,2540.0,126,0.18,0.09192172
0.45,12800.0,0.19288614,0.1621163,-16.207588,0.81582457,2560.0,127,0.14,0.091945164
0.5,12900.0,0.19293444,0.1620697,-13.024071,0.8160255,2580.0,128,0.2,0.09199115
0.55,13000.0,0.19291061,0.162085,-11.93133,0.81607723,2600.0,129,0.24,0.0920798
0.6,13100.0,0.19294031,0.1619202,-11.932505,0.81628656,2620.0,130,0.14,0.092048004
0.65,13200.0,0.1929211,0.16194828,-13.2353,0.8164019,2640.0,131,0.21,0.09204244
0.45,13300.0,0.19290486,0.16192563,-12.540636,0.81657404,2660.0,132,0.17,0.0921272
0.6,13400.0,0.19293109,0.16176993,-11.8357935,0.81676525,2680.0,133,0.16,0.09218955
