test/episode,stats_o/mean,stats_o/std,train/success_rate,stats_g/std,train/episode,test/success_rate,epoch,test/mean_Q,stats_g/mean
3080.0,0.20335059,0.11847988,0.42,0.1041081,15400.0,0.45,153,-22.447159,0.8439974
3100.0,0.20329525,0.11856914,0.47,0.10407799,15500.0,0.5,154,-16.605473,0.8440099
3120.0,0.20332848,0.11862703,0.45,0.104074486,15600.0,0.7,155,-13.10084,0.8440371
3140.0,0.20333834,0.11875225,0.45,0.10410443,15700.0,0.65,156,-14.897684,0.8440845
3160.0,0.20332561,0.1188145,0.53,0.10409848,15800.0,0.7,157,-12.446354,0.8440788
3180.0,0.20335183,0.118784994,0.33,0.104082406,15900.0,0.65,158,-16.69994,0.84406596
3200.0,0.20336653,0.11880922,0.41,0.10403896,16000.0,0.4,159,-25.694845,0.84409386
3220.0,0.20335497,0.118849285,0.42,0.10413781,16100.0,0.55,160,-18.480082,0.8440538
3240.0,0.20334257,0.11889082,0.44,0.10414153,16200.0,0.75,161,-9.829569,0.84403324
3260.0,0.20333421,0.11905936,0.51,0.104206026,16300.0,0.45,162,-18.886036,0.84403515
3280.0,0.20336735,0.119194165,0.43,0.104219995,16400.0,0.8,163,-9.018301,0.8440295
3300.0,0.20337369,0.11929819,0.46,0.104404725,16500.0,0.35,164,-25.61698,0.84396887
3320.0,0.2034072,0.11921402,0.5,0.104354195,16600.0,0.7,165,-11.1697235,0.8439806
3340.0,0.2034463,0.11922213,0.45,0.10435063,16700.0,0.6,166,-17.30321,0.844006
3360.0,0.20345192,0.11929595,0.41,0.104414046,16800.0,0.4,167,-19.63367,0.8440446
3380.0,0.20346245,0.11929143,0.47,0.1045408,16900.0,0.85,168,-5.650238,0.8440296
3400.0,0.20347841,0.11923422,0.42,0.10460236,17000.0,0.6,169,-17.26597,0.8440051
3420.0,0.20345356,0.119369335,0.39,0.10490063,17100.0,0.5,170,-21.464514,0.8438745
3440.0,0.20347866,0.119396724,0.46,0.10485771,17200.0,0.6,171,-13.781339,0.8438541
3460.0,0.20347358,0.11946477,0.46,0.10488554,17300.0,0.45,172,-19.371727,0.8438394
3480.0,0.20346116,0.1195191,0.49,0.104909874,17400.0,0.85,173,-6.5089216,0.8438461
3500.0,0.20345879,0.1196523,0.45,0.10491282,17500.0,0.5,174,-14.023175,0.8438043
3520.0,0.20347634,0.119714625,0.45,0.10495436,17600.0,0.65,175,-10.893925,0.84377193
3540.0,0.20348871,0.11979169,0.42,0.10493022,17700.0,0.65,176,-8.95785,0.8438053
3560.0,0.2035188,0.11991001,0.41,0.10499558,17800.0,0.7,177,-7.962973,0.8438077
3580.0,0.2035349,0.11998405,0.47,0.10504467,17900.0,0.6,178,-13.389752,0.84378177
3600.0,0.20354272,0.12002822,0.5,0.10503501,18000.0,0.5,179,-14.302912,0.8437982
3620.0,0.20354047,0.120106265,0.49,0.10502621,18100.0,0.75,180,-8.920589,0.84379274
3640.0,0.2035665,0.120140746,0.48,0.105084896,18200.0,0.6,181,-12.688547,0.8438186
3660.0,0.20356,0.120232746,0.49,0.10523286,18300.0,0.7,182,-8.367974,0.843805
3680.0,0.20354006,0.12023126,0.52,0.10521596,18400.0,0.65,183,-12.557506,0.84381914
3700.0,0.20356196,0.120349064,0.45,0.105347924,18500.0,0.5,184,-14.436991,0.8437526
3720.0,0.20357123,0.12047411,0.46,0.10538593,18600.0,0.6,185,-11.431635,0.8437516
3740.0,0.20359953,0.1205553,0.45,0.10551711,18700.0,0.85,186,-6.930503,0.8437626
3760.0,0.20358281,0.12058118,0.52,0.1055877,18800.0,0.65,187,-10.706057,0.84370786
3780.0,0.20357385,0.120702714,0.45,0.10578159,18900.0,0.55,188,-10.875571,0.84374857
3800.0,0.20356981,0.1207747,0.4,0.105931394,19000.0,0.85,189,-6.490892,0.84374195
3820.0,0.20356949,0.120798685,0.49,0.105913006,19100.0,0.45,190,-11.630411,0.84375477
3840.0,0.2035635,0.12080858,0.5,0.10591695,19200.0,0.8,191,-4.5953093,0.8437684
3860.0,0.20354933,0.12081569,0.47,0.10599097,19300.0,0.7,192,-3.9600601,0.8437831
3880.0,0.20353217,0.12080251,0.48,0.10605816,19400.0,0.65,193,-10.812225,0.8437616
3900.0,0.20354524,0.120865695,0.48,0.10610935,19500.0,0.7,194,-5.7225876,0.84376436
3920.0,0.20354344,0.12086023,0.5,0.1062279,19600.0,0.65,195,-11.798231,0.843739
3940.0,0.20357928,0.12088245,0.51,0.106297694,19700.0,0.8,196,-4.215484,0.8437399
3960.0,0.20361178,0.12097236,0.43,0.106517285,19800.0,0.9,197,-3.3617375,0.84373254
3980.0,0.20360972,0.12101445,0.54,0.106589876,19900.0,0.55,198,-10.4468565,0.8437517
4000.0,0.20361416,0.12104144,0.52,0.10669446,20000.0,0.7,199,-5.556848,0.8437436
4020.0,0.203638,0.121049985,0.48,0.10674294,20100.0,0.75,200,-8.388388,0.843739
4040.0,0.20363173,0.12108889,0.56,0.10675079,20200.0,0.8,201,-5.7522383,0.8437662
4060.0,0.20363486,0.12110052,0.46,0.10674566,20300.0,0.8,202,-3.878692,0.84379846
4080.0,0.20364304,0.12107962,0.5,0.106734015,20400.0,0.85,203,-2.6732833,0.8437977
4100.0,0.2036483,0.12107093,0.44,0.10673753,20500.0,0.7,204,-5.2082987,0.84377176
4120.0,0.20367475,0.12103252,0.53,0.10675943,20600.0,0.7,205,-6.975737,0.84375364
4140.0,0.20367154,0.12096214,0.52,0.10672174,20700.0,0.9,206,-3.165129,0.84377044
4160.0,0.2036956,0.12090501,0.5,0.106753014,20800.0,0.75,207,-4.056876,0.8437843
4180.0,0.20369828,0.12096403,0.45,0.10684166,20900.0,0.7,208,-7.603298,0.8438223
4200.0,0.20375611,0.12097777,0.49,0.10693642,21000.0,0.85,209,-4.075492,0.8438526
4220.0,0.20378697,0.120998375,0.47,0.10704935,21100.0,0.8,210,-4.6837597,0.84381205
4240.0,0.20380211,0.12099268,0.54,0.10706344,21200.0,0.8,211,-5.652218,0.8438179
4260.0,0.20378162,0.12097771,0.55,0.10711341,21300.0,0.65,212,-7.382997,0.8438143
4280.0,0.20377529,0.120949775,0.56,0.10711592,21400.0,0.8,213,-3.8519654,0.8438298
4300.0,0.20377378,0.120948136,0.55,0.10713578,21500.0,0.75,214,-4.082162,0.843864
4320.0,0.20377927,0.12096162,0.47,0.10716192,21600.0,0.8,215,-4.6059794,0.84389323
4340.0,0.20379665,0.12100071,0.51,0.10722049,21700.0,0.85,216,-2.8520994,0.84395766
4360.0,0.20378956,0.12100553,0.56,0.10724565,21800.0,0.75,217,-7.6472387,0.84399253
4380.0,0.20378369,0.12104599,0.62,0.10728035,21900.0,0.8,218,-4.032593,0.84396124
4400.0,0.20379023,0.12104821,0.59,0.107264094,22000.0,0.9,219,-2.3087952,0.84396863
4420.0,0.20380545,0.1210367,0.53,0.10729954,22100.0,0.9,220,-3.297916,0.8439848
4440.0,0.20381598,0.121054694,0.56,0.10734573,22200.0,0.95,221,-2.3549266,0.8439624
4460.0,0.20382273,0.121049844,0.52,0.10733739,22300.0,0.75,222,-3.4232337,0.844004
4480.0,0.20383544,0.12106667,0.54,0.10734873,22400.0,0.8,223,-1.8821894,0.84405893
4500.0,0.2038438,0.12107294,0.48,0.107373975,22500.0,0.65,224,-6.1867824,0.8440566
4520.0,0.20386219,0.12106004,0.52,0.10737782,22600.0,0.9,225,-1.5169582,0.8440704
4540.0,0.20388769,0.120974645,0.59,0.107326426,22700.0,0.75,226,-3.9095492,0.84411097
4560.0,0.20390564,0.12093657,0.59,0.10734858,22800.0,0.7,227,-3.746154,0.8441333
4580.0,0.20391473,0.12092641,0.48,0.107371055,22900.0,0.9,228,-2.426215,0.8441622
4600.0,0.203942,0.12083016,0.52,0.10734541,23000.0,0.95,229,-1.6210957,0.84419656
4620.0,0.20396952,0.12083077,0.6,0.10734864,23100.0,0.85,230,-1.9355638,0.8442022
4640.0,0.2039794,0.12082646,0.44,0.10741195,23200.0,0.9,231,-1.7574354,0.8441887
4660.0,0.20399038,0.12076861,0.59,0.10741945,23300.0,0.8,232,-3.0560834,0.8442269
4680.0,0.20401007,0.12073528,0.52,0.10744841,23400.0,0.65,233,-3.9495716,0.8442883
4700.0,0.20401825,0.1206745,0.61,0.10744723,23500.0,0.8,234,-2.302754,0.8442931
4720.0,0.20401676,0.12061484,0.52,0.10748225,23600.0,0.85,235,-1.6209047,0.844297
4740.0,0.20402254,0.12058033,0.59,0.10748643,23700.0,1.0,236,-0.92551976,0.8442994
4760.0,0.20401913,0.120533645,0.58,0.10744059,23800.0,0.8,237,-2.7774174,0.8443206
4780.0,0.20402917,0.12051276,0.61,0.10741641,23900.0,0.75,238,-4.460332,0.8443439
4800.0,0.20405352,0.12046275,0.62,0.10740713,24000.0,0.7,239,-3.3001633,0.84438103
4820.0,0.20407492,0.12038394,0.48,0.10741476,24100.0,0.85,240,-2.4828153,0.84439284
4840.0,0.2040696,0.12032716,0.57,0.10740611,24200.0,1.0,241,-0.9811513,0.8444188
4860.0,0.20405795,0.12027283,0.55,0.107363135,24300.0,0.8,242,-1.648771,0.8444295
4880.0,0.20406905,0.12025105,0.62,0.10733715,24400.0,0.8,243,-3.5516403,0.8444479
4900.0,0.20407063,0.12021992,0.62,0.10735968,24500.0,0.8,244,-3.7421582,0.84444755
4920.0,0.20409474,0.12020586,0.53,0.10739065,24600.0,0.8,245,-2.0264978,0.8445232
4940.0,0.20413017,0.12018817,0.46,0.10744055,24700.0,0.85,246,-1.9550129,0.84455675
4960.0,0.20413095,0.12013656,0.53,0.107415445,24800.0,0.75,247,-2.4801908,0.8446087
4980.0,0.20413822,0.120148756,0.58,0.10747334,24900.0,0.85,248,-1.7581909,0.8445961
5000.0,0.20414555,0.120163344,0.65,0.10744809,25000.0,0.85,249,-1.4060653,0.844619
5020.0,0.20414604,0.12009869,0.65,0.10741371,25100.0,1.0,250,-0.73582584,0.84464526
5040.0,0.2041564,0.12008387,0.56,0.10739872,25200.0,0.8,251,-2.3400357,0.8446853
5060.0,0.20416279,0.12012586,0.49,0.107486606,25300.0,0.85,252,-2.1175258,0.84468955
5080.0,0.2041729,0.120153666,0.55,0.10756322,25400.0,0.85,253,-2.1838973,0.8447063
5100.0,0.20418611,0.12004453,0.66,0.10752014,25500.0,0.85,254,-1.6666987,0.8447504
5120.0,0.20420258,0.12002819,0.45,0.10764042,25600.0,0.9,255,-1.6755626,0.84481144
5140.0,0.20421411,0.11998272,0.54,0.107653596,25700.0,0.85,256,-1.357323,0.8448586
5160.0,0.20422307,0.11992454,0.58,0.10763957,25800.0,1.0,257,-1.1665244,0.8448918
5180.0,0.20424457,0.119859934,0.54,0.10765526,25900.0,0.9,258,-1.969128,0.8449499
5200.0,0.20424747,0.119894065,0.62,0.10769639,26000.0,0.9,259,-1.7133636,0.84493303
5220.0,0.20425723,0.11986735,0.58,0.10769799,26100.0,0.9,260,-2.0043902,0.84497076
5240.0,0.20426339,0.11988397,0.56,0.107706845,26200.0,0.95,261,-1.7703068,0.84498805
5260.0,0.2042761,0.11984092,0.63,0.107701175,26300.0,0.95,262,-2.3406606,0.8449884
5280.0,0.20428982,0.1197926,0.57,0.10773093,26400.0,0.85,263,-2.396326,0.8450298
5300.0,0.2042949,0.11974223,0.6,0.10773814,26500.0,0.95,264,-1.5338184,0.8450506
5320.0,0.20431419,0.11972938,0.52,0.10777558,26600.0,1.0,265,-0.70376027,0.845094
5340.0,0.20433396,0.119752295,0.56,0.10783875,26700.0,0.9,266,-2.398779,0.84510964
5360.0,0.20433499,0.119705066,0.55,0.10781217,26800.0,0.9,267,-2.5282192,0.8451616
5380.0,0.20435624,0.11969718,0.57,0.1077837,26900.0,0.95,268,-2.0223372,0.8451784
5400.0,0.2043743,0.11970057,0.51,0.10782858,27000.0,0.9,269,-1.8260212,0.8452204
5420.0,0.20438778,0.119679354,0.49,0.10788295,27100.0,1.0,270,-1.0908147,0.84528595
5440.0,0.20438622,0.11967454,0.63,0.10791736,27200.0,0.85,271,-3.129146,0.84531593
5460.0,0.20440604,0.1196319,0.56,0.10790366,27300.0,0.8,272,-3.2744796,0.8453496
5480.0,0.20441163,0.11959249,0.62,0.10785002,27400.0,0.9,273,-1.9082034,0.8453584
5500.0,0.204425,0.119551785,0.51,0.10785588,27500.0,0.9,274,-2.597118,0.8453784
5520.0,0.20443247,0.119570695,0.52,0.107871555,27600.0,0.95,275,-2.7153578,0.8454017
