train/success_rate,test/mean_Q,test/success_rate,epoch,stats_g/mean,stats_g/std,stats_o/std,train/episode,stats_o/mean,test/episode
0.67,-4.9954906,0.8,114,0.837831,0.07708403,0.0927792,11500.0,0.20168358,2300.0
0.68,-3.240683,0.8,115,0.8378559,0.0771234,0.09338702,11600.0,0.20167997,2320.0
0.75,-4.656852,0.7,116,0.8378313,0.07711106,0.093988486,11700.0,0.20161504,2340.0
0.65,-3.953162,0.85,117,0.83776134,0.07721153,0.09464605,11800.0,0.20159803,2360.0
0.73,-4.901176,0.75,118,0.83771807,0.077155,0.09507115,11900.0,0.20154345,2380.0
0.77,-2.8546414,0.85,119,0.83768964,0.07714035,0.09546233,12000.0,0.20157795,2400.0
0.8,-2.2849088,1.0,120,0.83765465,0.077118106,0.09588525,12100.0,0.20161705,2420.0
0.73,-2.0832417,0.9,121,0.8376445,0.07718323,0.096309625,12200.0,0.20161599,2440.0
0.82,-2.1528702,0.95,122,0.8376567,0.07720838,0.09666085,12300.0,0.20156425,2460.0
0.84,-2.139816,0.95,123,0.8376784,0.07722545,0.09715466,12400.0,0.20154122,2480.0
0.77,-2.2338002,0.95,124,0.8376765,0.07725691,0.0976885,12500.0,0.20157108,2500.0
0.74,-1.7166821,1.0,125,0.837642,0.07733094,0.09823459,12600.0,0.20156983,2520.0
0.77,-3.2537982,0.9,126,0.8376169,0.0773793,0.09868047,12700.0,0.20157059,2540.0
0.79,-2.4277692,0.95,127,0.8376021,0.077346176,0.098920524,12800.0,0.20154026,2560.0
0.81,-1.8717525,0.95,128,0.8375949,0.077307455,0.0993609,12900.0,0.2015308,2580.0
0.85,-2.8986754,0.9,129,0.8375798,0.077233516,0.09991931,13000.0,0.20151581,2600.0
0.86,-2.5367544,0.9,130,0.8376026,0.07716872,0.100161575,13100.0,0.20154342,2620.0
0.79,-1.6362383,0.9,131,0.8375986,0.077155,0.10056813,13200.0,0.20152903,2640.0
0.86,-1.6298616,1.0,132,0.83758545,0.0771208,0.10081278,13300.0,0.20155261,2660.0
0.79,-2.4995868,0.95,133,0.83763474,0.07712456,0.1011222,13400.0,0.20160422,2680.0
0.88,-1.3517549,0.95,134,0.83762413,0.07708334,0.101305015,13500.0,0.20158665,2700.0
0.88,-1.9455792,0.9,135,0.83762854,0.07704996,0.10155034,13600.0,0.20157881,2720.0
0.9,-1.1870686,1.0,136,0.83766365,0.07696116,0.10183246,13700.0,0.20157093,2740.0
0.9,-1.327409,1.0,137,0.8377072,0.077014074,0.10215204,13800.0,0.20154127,2760.0
0.91,-1.820503,1.0,138,0.8377419,0.07692931,0.10243652,13900.0,0.2015122,2780.0
0.89,-1.4474813,1.0,139,0.8377495,0.07690335,0.10269744,14000.0,0.20148945,2800.0
0.9,-2.0115511,0.95,140,0.8377309,0.07702545,0.10282681,14100.0,0.20151976,2820.0
0.86,-1.249973,1.0,141,0.837712,0.07708559,0.103095226,14200.0,0.20155887,2840.0
0.88,-1.8955997,0.95,142,0.8377094,0.07705232,0.1032754,14300.0,0.20154814,2860.0
0.93,-1.7946112,0.95,143,0.8376978,0.076970845,0.10347652,14400.0,0.20156233,2880.0
0.89,-1.3428762,1.0,144,0.8376538,0.07698275,0.10375136,14500.0,0.20155434,2900.0
0.88,-3.187241,0.95,145,0.83765125,0.076908864,0.103887245,14600.0,0.20156805,2920.0
